District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Kings Canyon Joint Unified (Fresno),Fresno,Unified School District,9954,30.5,76.2,16,89.95,31.3,187,0,21.4,13,63621,N/A,N/A,N/A,8420,550,8934,165,4796,32,443,945
Sierra Unified (Fresno),Fresno,Unified School District,1402,1.2,46.9,36,90.48,31.2,44,0,20.2,16,61824,N/A,N/A,N/A,10009,629,11537,0,5980,40,502,1409
Lake Elsinore Unified (Riverside),Riverside,Unified School District,22137,14.5,60.2,42,88.75,31.1,463,0,23.8,12,72819,N/A,N/A,N/A,7994,348,7753,79,5147,89,404,685
Woodlake Unified (Tulare),Tulare,Unified School District,2273,38.4,84.4,13,80,31.1,46,0,22,11,57545,N/A,N/A,N/A,8491,463,9150,175,5306,0,458,1068
Alpaugh Unified (Tulare),Tulare,Unified School District,577,31,74,36,70,redacted,redacted,0,18.3,3,48953,N/A,N/A,N/A,10860,484,10576,117,6672,2,1567,169
Beaumont Unified (Riverside),Riverside,Unified School District,8834,12.9,59.7,46,88.93,31,174,0,26.6,9,66424,N/A,N/A,N/A,6669,248,7042,63,4061,2,509,518
Williams Unified (Colusa),Colusa,Unified School District,1324,47.9,77.5,12,78.72,30.8,24,0,23.4,12,63082,N/A,N/A,N/A,6976,502,7657,68,4618,0,500,240
Jurupa Unified (Riverside),Riverside,Unified School District,19577,36.2,73.6,19,82.01,30.7,376,0,23.4,13,74748,N/A,N/A,N/A,7885,258,8015,44,5362,1,301,621
Emery Unified (Alameda),Alameda,Unified School District,751,15.5,69.2,46,80,30.6,11,0,17.5,6,N/A,N/A,N/A,N/A,13066,423,16325,128,7144,0,1888,838
Healdsburg Unified (Sonoma),Sonoma,Unified School District,1813,38.2,56.4,33,89.3,30.6,52,0,22.6,13,63790,N/A,N/A,N/A,9414,309,11965,14,6421,0,761,635
Laton Joint Unified (Fresno),Fresno,Unified School District,702,42.6,80.8,13,80.49,30.6,11,0,16.7,9,52096,N/A,N/A,N/A,8378,987,9154,106,5866,0,661,299
Parlier Unified (Fresno),Fresno,Unified School District,3320,56.2,88,1,80.66,30.6,59,0,21.4,10,53262,N/A,N/A,N/A,9506,781,9393,70,5784,48,863,729
Porterville Unified (Tulare),Tulare,Unified School District,13835,23.8,82.7,23,83.65,30.6,379,0,26.1,14,70333,N/A,N/A,N/A,8059,524,8805,165,5443,158,288,691
Manteca Unified (San Joaquin),San Joaquin,Unified School District,23235,18.9,59.5,51,91.96,30.4,490,0,25.1,12,64755,N/A,N/A,N/A,6731,221,7508,1,4586,0,311,498
Winters Joint Unified (Yolo),Yolo,Unified School District,1522,34.8,63.5,33,88.24,30.4,38,0,21.8,13,63339,N/A,N/A,N/A,8274,475,8241,14,5001,18,829,643
Gilroy Unified (Santa Clara),Santa Clara,Unified School District,11571,23.7,52.1,30,83.78,30.3,224,0,24.2,11,66529,N/A,N/A,N/A,7377,206,7835,77,4824,30,370,603
Hacienda la Puente Unified (Los Angeles),Los Angeles,Unified School District,20358,19.3,73.9,22,88.41,30.3,437,0,22.3,11,68151,N/A,N/A,N/A,8298,342,9218,62,5139,2,464,523
Big Pine Unified (Inyo),Inyo,Unified School District,186,2.6,75.3,49,100,redacted,redacted,0,12,9,60678,N/A,N/A,N/A,15352,661,17065,0,9982,0,1536,945
Los Banos Unified (Merced),Merced,Unified School District,9892,27.2,78,24,89.51,30,180,0,26.7,10,63331,N/A,N/A,N/A,7271,341,7292,82,4663,0,447,521
Washington Unified (Yolo),Yolo,Unified School District,7697,19.2,63,54,90.66,30,157,0,20.5,10,57962,N/A,N/A,N/A,7881,322,7854,43,4931,0,655,587
Lindsay Unified (Tulare),Tulare,Unified School District,4130,49.3,79.6,10,82.73,29.9,76,0,24,8,59217,N/A,N/A,N/A,8673,613,9666,36,5273,6,704,698
Mt. Diablo Unified (Contra Costa),Contra Costa,Unified School District,32001,22.6,45.1,53,82.6,29.9,587,0,21.6,11,63694,N/A,N/A,N/A,8544,301,8909,39,5734,20,350,883
San Leandro Unified (Alameda),Alameda,Unified School District,8704,24.1,65.2,58,82.44,29.9,175,0,21.7,11,74515,N/A,N/A,N/A,8065,204,8016,28,5506,0,333,483
Moreno Valley Unified (Riverside),Riverside,Unified School District,34924,22.4,81.2,36,81.51,29.8,627,0,23.8,12,69819,N/A,N/A,N/A,7662,265,8011,1,5138,3,265,593
Apple Valley Unified (San Bernardino),San Bernardino,Unified School District,14701,8.3,61,48,84.01,29.7,296,0,25,12,69381,N/A,N/A,N/A,7457,312,7397,0,5096,0,386,571
Paso Robles Joint Unified (San Luis Obispo),San Luis Obispo,Unified School District,6601,20.2,48.3,40,87.48,29.7,154,0,23.4,15,61667,N/A,N/A,N/A,7755,311,8786,150,4976,2,457,627
Bear Valley Unified (San Bernardino),San Bernardino,Unified School District,2605,14.3,62.1,37,90.95,29.5,59,0,24.3,15,70307,N/A,N/A,N/A,8070,371,8384,100,4686,0,698,809
Paramount Unified (Los Angeles),Los Angeles,Unified School District,15864,33.5,94.7,14,80.84,29.5,347,0,24.7,13,72985,N/A,N/A,N/A,7950,262,8068,36,5149,0,402,531
Upland Unified (San Bernardino),San Bernardino,Unified School District,11908,13.6,51.5,47,94.46,29.5,268,0,24.6,15,73729,N/A,N/A,N/A,7464,201,7115,31,5310,92,341,458
Vista Unified (San Diego),San Diego,Unified School District,25642,23.2,59.7,40,81.12,29.4,590,0,23.4,13,65157,N/A,N/A,N/A,8263,282,8487,38,5542,81,374,654
Lompoc Unified (Santa Barbara),Santa Barbara,Unified School District,9811,22.5,64.5,40,87.48,29.2,172,0,21,13,63948,N/A,N/A,N/A,7559,257,7795,115,4689,0,532,662
Modoc Joint Unified (Modoc),Modoc,Unified School District,793,5.3,58.8,30,90,29.2,19,0,18,10,50660,N/A,N/A,N/A,9145,641,10435,161,5227,0,1007,572
Madera Unified (Madera),Madera,Unified School District,19984,31.2,84.4,14,83.44,28.8,303,0,23,12,61941,N/A,N/A,N/A,7399,468,7881,109,4738,1,382,659
Banning Unified (Riverside),Riverside,Unified School District,4524,18.3,83.2,41,83.67,28.7,73,0,26.9,12,65494,N/A,N/A,N/A,8207,455,8515,53,4887,144,664,772
Colusa Unified (Colusa),Colusa,Unified School District,1408,29.5,60.5,33,70.69,28.6,24,0,21.4,13,61692,N/A,N/A,N/A,7200,319,7867,140,4712,2,523,476
Oceanside Unified (San Diego),San Diego,Unified School District,21215,15.8,61.5,45,87,28.6,378,0,24.8,15,76328,N/A,N/A,N/A,8427,349,8679,10,5458,7,397,848
Colton Joint Unified (San Bernardino),San Bernardino,Unified School District,23172,24.5,78.9,20,77.75,28.5,347,0,21.4,13,67853,N/A,N/A,N/A,8061,291,7936,74,5189,0,411,716
Konocti Unified (Lake),Lake,Unified School District,3071,15.2,82.9,45,81.46,28.5,49,0,22.1,11,52341,N/A,N/A,N/A,8503,508,9422,66,5140,1,528,953
Durham Unified (Butte),Butte,Unified School District,991,9.1,40.5,27,94.51,28.4,25,0,18.4,15,62955,N/A,N/A,N/A,8387,298,8178,140,5305,0,660,802
Palm Springs Unified (Riverside),Riverside,Unified School District,23575,30.6,83,28,87.15,28.2,415,0,25.5,12,71182,N/A,N/A,N/A,8236,316,8544,69,5326,0,402,636
Vallejo City Unified (Solano),Solano,Unified School District,15157,16.2,65.3,61,64.99,28.2,225,0,24.1,13,57757,N/A,N/A,N/A,8487,379,8725,39,5153,0,835,548
West Covina Unified (Los Angeles),Los Angeles,Unified School District,14460,6.6,64.7,42,96.54,28.2,279,0,23.5,8,68471,N/A,N/A,N/A,8320,399,8257,51,4982,0,493,720
Laytonville Unified (Mendocino),Mendocino,Unified School District,407,4.5,60.7,36,93.62,27.3,12,0,17.8,12,55789,N/A,N/A,N/A,11105,473,11739,393,6291,45,1271,1023
Bellflower Unified (Los Angeles),Los Angeles,Unified School District,13721,21.3,62.9,42,93.17,27,276,0,24.5,14,70035,N/A,N/A,N/A,7532,274,7896,47,5038,0,315,530
Azusa Unified (Los Angeles),Los Angeles,Unified School District,9755,31.1,84.9,9,92.96,26.9,180,0,20.3,16,71930,N/A,N/A,N/A,8810,293,9157,43,5891,0,416,539
Cloverdale Unified (Sonoma),Sonoma,Unified School District,1445,31.5,58.7,38,79.34,26.9,28,0,23.1,14,58267,N/A,N/A,N/A,7511,236,8402,122,5229,0,660,352
Coachella Valley Unified (Riverside),Riverside,Unified School District,18720,50.9,80.3,3,79.14,26.9,247,0,22.4,11,67642,N/A,N/A,N/A,9215,513,8863,0,6097,0,593,908
Gridley Unified (Butte),Butte,Unified School District,2112,20,67,35,83.52,26.9,42,0,20.7,12,59480,N/A,N/A,N/A,7375,381,7878,135,4840,2,452,630
Western Placer Unified (Placer),Placer,Unified School District,9447,9.2,42.4,38,87.67,26.9,170,0,17,9,66280,N/A,N/A,N/A,7122,277,7232,151,4723,9,468,406
Tehachapi Unified (Kern),Kern,Unified School District,4446,8.4,38,34,87.96,26.8,86,0,25.3,13,63493,N/A,N/A,N/A,7759,296,7943,104,4740,64,494,978
Escalon Unified (San Joaquin),San Joaquin,Unified School District,2815,21.3,49.4,39,94.96,26.7,60,0,22.8,13,62954,N/A,N/A,N/A,7178,334,7587,0,4772,0,421,545
Hilmar Unified (Merced),Merced,Unified School District,2242,22.6,58.6,35,90,26.4,43,0,19.6,15,61405,N/A,N/A,N/A,7852,405,7933,138,5122,14,510,733
Pacific Grove Unified (Monterey),Monterey,Unified School District,2046,7.7,19.9,39,93.23,26.4,33,0,19.2,11,78457,N/A,N/A,N/A,12609,549,12324,133,7410,0,1243,1193
Walnut Valley Unified (Los Angeles),Los Angeles,Unified School District,14661,10.1,15.4,45,98.25,26.3,415,0,25.4,15,73903,N/A,N/A,N/A,7180,234,7208,29,4725,27,283,632
Pittsburg Unified (Contra Costa),Contra Costa,Unified School District,10560,30.4,82.5,42,71.3,26.2,147,0,21.7,10,60839,N/A,N/A,N/A,8319,361,8345,27,5411,4,593,534
Newman-Crows Landing Unified (Stanislaus),Stanislaus,Unified School District,2867,35.2,73.4,28,93.09,26.1,46,0,24.6,10,67230,N/A,N/A,N/A,7526,430,7904,121,5051,0,579,397
Pierce Joint Unified (Colusa),Colusa,Unified School District,1377,29,74.5,28,94.62,26.1,24,0,20.9,10,58354,N/A,N/A,N/A,7285,431,7935,112,4554,15,707,389
Newark Unified (Alameda),Alameda,Unified School District,6484,24.7,53.9,54,87.92,25.9,124,0,23,11,76330,N/A,N/A,N/A,8068,253,8223,42,5366,6,437,472
Barstow Unified (San Bernardino),San Bernardino,Unified School District,5929,13.3,71.9,48,73.1,25.6,99,0,22.7,13,61814,N/A,N/A,N/A,8248,405,7946,0,5063,0,521,749
Montebello Unified (Los Angeles),Los Angeles,Unified School District,30564,30.8,87.1,5,87.25,25.6,559,0,25.2,15,76447,N/A,N/A,N/A,8424,282,8667,38,5461,23,493,904
