District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Konocti Unified (Lake),Lake,Unified School District,3365,21.3,76.7,46,60.2,21.6,30,19,20.4,8,57892,30.7,8.36,21.97,12874,1095,13304,116,7659,4,653,1723
La Canada Unified (Los Angeles),Los Angeles,Unified School District,4132,5.5,1.5,50,97.9,73.8,245,195,22.1,11,82877,2.4,83.53,85.85,10721,531,11315,12,6777,16,838,677
La Honda-Pescadero Unified (San Mateo),San Mateo,Unified School District,318,48.4,52.8,32,93.8,43.3,13,4,12,7,64846,14,26.83,45.4,18615,714,19636,283,10657,0,1992,1021
Laguna Beach Unified (Orange),Orange,Unified School District,3025,4.4,8.3,26,97.6,76.2,182,179,19.6,9,102155,11.3,71.97,82.02,18516,1101,20134,440,11909,0,1498,1837
Lake Elsinore Unified (Riverside),Riverside,Unified School District,22039,16.1,64,41,85.6,37.1,532,290,22,14,85446,12.8,28.2,39.86,10584,539,11318,107,7112,37,557,889
Lake Tahoe Unified (El Dorado),El Dorado,Unified School District,3951,26.1,58.8,41,85.4,29.9,80,68,19,13,73487,15.7,34.3,47.33,11693,701,12108,146,7549,0,630,912
Lakeport Unified (Lake),Lake,Unified School District,1534,8.1,61,47,92.6,35.7,40,7,22.1,9,60920,0,27.91,37.97,10805,584,11495,270,6448,0,879,755
Lammersville Joint Unified (San Joaquin),San Joaquin,Unified School District,4522,9.9,15.1,69,96.6,48.7,96,35,21.3,4,62654,8.6,56.86,67.63,8904,617,9129,248,5380,1,566,491
Las Virgenes Unified (Los Angeles),Los Angeles,Unified School District,11547,8,7.8,29,92.3,62.1,576,451,22.8,8,76523,6.2,60.21,72.61,9791,322,10394,83,6400,0,435,818
Laton Joint Unified (Fresno),Fresno,Unified School District,700,41.3,79.7,16,97.3,38.9,14,16,16.6,7,54129,13.5,19.82,29.23,12604,1417,13351,143,7642,0,1070,821
Laytonville Unified (Mendocino),Mendocino,Unified School District,393,5.1,72.5,40,92.6,20,5,0,15.6,10,56729,31,23.92,28.37,13914,873,15213,462,7603,54,1403,1464
Leggett Valley Unified (Mendocino),Mendocino,Unified School District,119,N/A,48.7,20,redacted,0,0,N/A,10.7,11,N/A,34.9,32.79,38.71,20984,1125,25208,147,11676,0,2072,1723
Lincoln Unified (San Joaquin),San Joaquin,Unified School District,9438,14.8,62.1,55,91.6,41.4,278,96,22.5,12,69540,12.5,32.08,47.26,9969,745,11023,86,6559,10,525,830
Linden Unified (San Joaquin),San Joaquin,Unified School District,2214,23.3,58.2,37,97,26.4,43,43,20.7,11,65882,10.3,31.62,42.06,10613,1176,11439,57,6653,21,698,1183
Lindsay Unified (Tulare),Tulare,Unified School District,4191,51.8,88.5,7,87.1,36.1,88,17,21.4,9,73853,8.8,19.7,31.14,13089,817,15426,49,7931,18,779,1225
Live Oak Unified (Sutter),Sutter,Unified School District,1806,20,78.3,40,93.7,47.8,64,46,19.9,11,69627,9.4,33.51,43.24,10464,802,11494,91,6582,76,782,1108
Livermore Valley Joint Unified (Alameda),Alameda,Unified School District,14016,13.3,23.2,49,92.5,50,516,267,21.1,11,77230,6.8,49.62,61.18,10380,487,10594,94,6597,15,534,848
Lodi Unified (San Joaquin),San Joaquin,Unified School District,30797,24.3,66.6,56,84.1,32.8,591,539,19.9,12,71664,12.7,32.05,42.34,10654,528,11716,49,7113,0,672,907
Lompoc Unified (Santa Barbara),Santa Barbara,Unified School District,10139,23.6,64.6,36,85.3,32.5,192,89,20.2,12,71786,13.3,27.54,45.3,10544,733,11706,164,6520,0,807,948
Lone Pine Unified (Inyo),Inyo,Unified School District,299,28.8,67.2,48,91.3,4.8,1,0,15.6,10,67419,7.6,31.01,35.85,18223,934,22041,281,11098,99,1782,1465
Long Beach Unified (Los Angeles),Los Angeles,Unified School District,76428,20.6,69.1,46,86,51.4,2748,785,24.3,16,91074,11.3,38.76,48.2,11919,654,12345,16,8081,124,473,772
Los Alamitos Unified (Orange),Orange,Unified School District,9904,2.2,13.9,53,97.8,74.5,607,367,24.9,14,99101,3.7,73.1,81.57,9945,261,10468,106,6844,4,647,608
Los Angeles Unified (Los Angeles),Los Angeles,Unified School District,633621,24.9,78.8,29,79.7,64.2,22836,12428,19.1,14,75094,11.7,29.86,39.55,13452,530,14645,264,8182,13,641,1233
Los Banos Unified (Merced),Merced,Unified School District,10785,28.9,77.2,20,95.2,38.1,265,89,25.4,10,78651,14.1,22.79,35.41,10752,611,12005,149,6863,0,632,958
Los Molinos Unified (Tehama),Tehama,Unified School District,593,16.2,78.9,40,81.1,16.7,5,33,17.9,11,N/A,15.2,25.78,36.11,12527,651,12689,271,7295,0,1203,945
Lucerne Valley Unified (San Bernardino),San Bernardino,Unified School District,2638,3.6,41.4,47,21.5,16.9,11,2,21.6,6,72105,6.3,15.63,30.46,14108,783,15755,92,8314,0,1842,1136
Lucia Mar Unified (San Luis Obispo),San Luis Obispo,Unified School District,10649,13.1,47.5,41,91.2,42.3,361,270,19.5,10,66843,10.3,37.49,51.95,10363,639,11039,119,7003,12,534,902
Lynwood Unified (Los Angeles),Los Angeles,Unified School District,14497,34,93,7,84.7,42.8,413,159,23.2,12,78626,15.6,21.85,32.73,11497,605,13029,77,6687,64,965,866
Madera Unified (Madera),Madera,Unified School District,20779,30.7,88.3,12,87.1,43.5,466,319,21.1,11,71225,11.2,20.9,32.37,10951,773,12333,177,6670,2,691,993
Mammoth Unified (Mono),Mono,Unified School District,1213,18.8,55.2,36,96.1,40.5,30,11,19.2,9,72688,15.1,31.36,40.68,11800,367,12072,136,7867,0,821,600
Manhattan Beach Unified (Los Angeles),Los Angeles,Unified School District,6776,1.9,3.1,41,97.3,80,489,424,23.7,8,85778,3.6,74.78,84.08,11122,354,11297,60,7545,0,785,745
Manteca Unified (San Joaquin),San Joaquin,Unified School District,23441,23.6,55.7,48,92.4,36.6,606,216,22.8,13,76862,10.6,24.69,41.21,9859,606,11086,3,6610,0,503,722
Maricopa Unified (Kern),Kern,Unified School District,3972,3.7,50.4,47,56.2,2.4,5,1,8,2,N/A,19.6,6.17,13.66,15243,1244,19087,1,9231,0,1705,1523
Mariposa County Unified (Mariposa),Mariposa,Unified School District,1844,3.5,52.2,33,93.8,25,34,10,18,12,62515,19.2,33.21,42.6,11953,719,13229,147,6865,27,936,1489
Martinez Unified (Contra Costa),Contra Costa,Unified School District,4143,8.3,22.9,50,91.4,40.9,122,69,20.8,13,72585,8.3,42.06,53.13,10442,289,10840,35,7122,0,750,722
Marysville Joint Unified (Yuba),Yuba,Unified School District,9986,23.1,79.9,51,83.8,28,159,59,22.9,12,73593,11,25.31,35.61,10565,675,12449,60,6280,0,721,1254
Mattole Unified (Humboldt),Humboldt,Unified School District,737,1.4,63.1,31,75.3,10.9,6,1,14.1,8,N/A,9.5,33.13,48.77,19843,978,27903,0,12744,0,2382,1205
Maxwell Unified (Colusa),Colusa,Unified School District,326,33.1,74.8,40,96.6,35.7,10,5,16.4,7,N/A,8.5,41.85,40.54,12058,875,13285,168,6603,10,1540,717
McFarland Unified (Kern),Kern,Unified School District,3570,42.1,87.7,2,91.5,44.7,96,62,23.3,11,69603,11.2,19.17,27.33,10605,1279,12843,235,6595,71,703,693
Mendocino Unified (Mendocino),Mendocino,Unified School District,517,4.4,35,21,91.1,41.2,21,8,13.1,9,59832,19.1,48.7,56.99,17174,870,18305,289,9950,0,1473,1628
Mendota Unified (Fresno),Fresno,Unified School District,3339,66.2,99.4,2,72.2,38.5,65,64,23,8,65627,5.8,20.73,35.52,10268,1213,13009,41,6284,0,1001,659
Middletown Unified (Lake),Lake,Unified School District,1680,6.8,59.4,32,85.3,33.6,43,9,21.5,8,60223,18,31.06,46.05,12127,609,12411,124,6508,0,964,1018
Milpitas Unified (Santa Clara),Santa Clara,Unified School District,10260,24.7,32.2,54,93.9,53.8,399,125,22.9,12,84981,6,62.14,68.81,9830,412,10874,41,6802,0,448,558
Modoc Joint Unified (Modoc),Modoc,Unified School District,847,5.8,53.5,32,80.3,20.8,11,6,17.8,10,56070,20.7,24.72,34.74,10413,662,11232,184,6215,0,961,566
Mojave Unified (Kern),Kern,Unified School District,2735,13.7,82,52,82.4,24.8,29,29,20.1,9,70938,29.9,11.2,23.1,13262,1074,13434,115,7554,0,1002,1948
Monrovia Unified (Los Angeles),Los Angeles,Unified School District,5616,13.5,58.2,39,88.6,52.3,216,97,21.2,12,77610,10.8,42.1,58.28,12195,630,12311,105,7774,0,850,1090
Montebello Unified (Los Angeles),Los Angeles,Unified School District,27398,32.6,81.5,5,80.6,37.8,711,393,24.5,17,82943,12.1,20.52,34.14,11807,528,13637,64,7353,34,615,1301
Monterey Peninsula Unified (Monterey),Monterey,Unified School District,10732,29.4,64.4,46,88.4,51.9,364,131,19,9,68002,12.5,25.74,36.29,12022,521,12342,82,7084,27,770,1093
Moorpark Unified (Ventura),Ventura,Unified School District,6472,16.5,34.3,45,88.4,55.8,288,172,21.5,15,72681,6.8,48.28,62.53,9668,177,10351,18,6314,0,695,689
Moreno Valley Unified (Riverside),Riverside,Unified School District,33408,21.5,81.7,32,87.8,38.6,787,374,22.8,13,83027,16.1,20.59,30.25,11993,743,13773,10,7843,10,542,933
Morgan Hill Unified (Santa Clara),Santa Clara,Unified School District,9137,15.5,36.5,47,89,46.5,276,133,21.9,9,75780,12.3,39.89,50.11,10227,546,11080,65,6453,2,680,951
Morongo Unified (San Bernardino),San Bernardino,Unified School District,8466,4.8,66.2,46,77.1,11.5,53,24,21.8,13,79271,18,28.29,42.3,11917,520,12160,65,7270,18,695,1247
Mountain Empire Unified (San Diego),San Diego,Unified School District,2784,22.1,59,44,53.9,16.7,29,13,15.9,6,58803,19.1,20.28,34.53,14146,947,14402,170,8735,0,975,1263
Mountain Valley Unified (Trinity),Trinity,Unified School District,273,8.4,74,50,87,35,7,0,14.9,12,58977,16,35.62,43.84,17773,1084,18705,463,10079,0,1470,1661
Mt. Diablo Unified (Contra Costa),Contra Costa,Unified School District,31814,22.9,43.4,54,84.2,42.7,783,536,20.3,12,75302,11.5,38.6,50.01,11671,476,11724,61,7688,0,473,1145
Muroc Joint Unified (Kern),Kern,Unified School District,1881,2.7,29.5,51,97.6,33.9,42,14,19.7,10,65202,15.7,34.38,46.3,10737,777,11575,95,6471,9,1018,1054
Murrieta Valley Unified (Riverside),Riverside,Unified School District,22978,6.5,30.1,52,96.2,59.2,1141,573,24.7,9,85797,8.9,46.59,61.58,9933,298,10286,114,6639,15,599,801
Napa Valley Unified (Napa),Napa,Unified School District,18224,22.8,48.7,45,88.1,51.7,656,273,21.2,11,77977,9.9,33.17,45.44,11193,359,11252,73,6951,4,601,879
Natomas Unified (Sacramento),Sacramento,Unified School District,14631,14.4,48.1,69,92.3,63.4,612,777,20.2,8,67620,9.6,33.04,42.99,10620,650,11350,113,6538,19,819,760
Needles Unified (San Bernardino),San Bernardino,Unified School District,952,1.4,73.6,50,87.5,27,17,7,20.8,11,73140,23.6,20.08,27.63,13411,949,14723,2,8572,0,1415,1004
New Haven Unified (Alameda),Alameda,Unified School District,11893,23.5,48.2,63,83.2,43.9,357,197,21.2,13,94442,9.4,39.36,49.6,11157,219,11466,118,7200,8,501,812
Newark Unified (Alameda),Alameda,Unified School District,5845,23.5,48.8,50,85,30.6,111,34,23.8,12,86990,15.6,36.71,45.49,11172,238,11368,70,6992,0,722,889
Newman-Crows Landing Unified (Stanislaus),Stanislaus,Unified School District,3003,36,71.7,25,97.2,39.6,82,34,20.7,10,72904,8.4,23.86,40.55,10683,884,11398,149,6517,0,887,658
Newport-Mesa Unified (Orange),Orange,Unified School District,21581,23.6,41.6,44,90.6,60.8,994,753,21.8,13,92282,10.6,49.99,58.57,12925,584,14169,172,7948,0,680,970
North Monterey County Unified (Monterey),Monterey,Unified School District,4613,42.5,81.1,17,80.3,38.6,107,47,21.2,9,71037,17.9,16.93,28.67,11865,812,12632,87,6976,0,852,1414
Norwalk-La Mirada Unified (Los Angeles),Los Angeles,Unified School District,18374,17.7,69.4,22,92.8,40.4,527,236,22.6,15,86203,10.2,30.56,44.09,11557,440,11817,59,6969,0,662,1004
Novato Unified (Marin),Marin,Unified School District,7869,15.8,32.6,46,90.1,50.5,271,211,19.5,10,74229,6.7,46.39,53.95,11228,327,11520,117,6984,0,754,864
Oak Park Unified (Ventura),Ventura,Unified School District,4584,5,5.5,40,96,76.8,298,175,22.9,12,84364,4.3,71.78,79.39,9855,299,9992,57,6622,19,817,785
Oakdale Joint Unified (Stanislaus),Stanislaus,Unified School District,5277,10.6,39.6,37,92.5,24.9,101,62,21.9,13,76324,10.3,33.05,46.38,10087,565,10948,6,6845,0,499,922
Oakland Unified (Alameda),Alameda,Unified School District,49760,31.4,73.4,55,73.7,60.5,1365,750,16.9,8,62742,15.1,25.51,31.86,14835,411,15337,367,8970,17,876,677
Oceanside Unified (San Diego),San Diego,Unified School District,20629,16.1,58.1,45,82.9,41.8,514,266,21.1,13,80078,12.3,35.38,41.78,11823,340,12535,7,7693,3,650,1064
Ojai Unified (Ventura),Ventura,Unified School District,2537,13.1,43.8,37,85.8,88.8,150,21,21.2,15,65003,11.4,34.67,46.04,10646,502,11466,12,6710,124,1014,877
Orange Unified (Orange),Orange,Unified School District,28522,23.8,43.1,44,91.3,47.7,1011,377,20.6,11,82084,9.8,41.64,54.48,11022,796,11047,76,7083,6,395,1019
Orland Joint Unified (Glenn),Glenn,Unified School District,2201,26.4,78.1,35,90.1,22,38,28,20.2,11,63541,10.1,14.93,29.89,10422,856,11514,89,6825,0,735,696
Owens Valley Unified (Inyo),Inyo,Unified School District,84,11.9,51.2,49,redacted,0,0,N/A,10.8,2,69606,13.2,21.05,26.32,21897,1018,21859,236,12418,128,3213,1089
Pacific Grove Unified (Monterey),Monterey,Unified School District,2078,6.4,17.7,40,92.3,70.6,101,31,20.6,10,93558,7.3,62.04,73,15074,552,15328,153,8985,0,1238,1517
Pajaro Valley Unified (Santa Cruz),Santa Cruz,Unified School District,20400,43.4,56.4,20,87.2,53.7,591,348,22.8,10,63587,25.9,21.17,30.74,12923,589,13360,126,8039,1,536,1393
Palm Springs Unified (Riverside),Riverside,Unified School District,23087,33.3,83.4,25,90.5,39.9,608,281,21.8,11,84464,15.8,25.67,39.76,13164,803,13122,131,8371,0,628,1105
Palo Alto Unified (Santa Clara),Santa Clara,Unified School District,12287,11.6,9.6,54,96.5,88.9,803,588,14.9,11,106089,5,81.45,81.85,19386,632,19334,148,12931,21,1106,1369
Palo Verde Unified (Riverside),Riverside,Unified School District,3096,11.7,73.6,32,88,24.4,54,16,24,10,75210,20.4,17.48,29.29,11518,959,11977,97,7337,0,741,1253
Palos Verdes Peninsula Unified (Los Angeles),Los Angeles,Unified School District,11428,8.3,3.5,52,98.4,83.3,843,616,23.4,12,79966,5.3,72.42,78.32,10551,463,10883,161,7236,9,630,710
Paradise Unified (Butte),Butte,Unified School District,4258,1.7,58.3,27,82,25.5,71,24,20.3,12,65597,18.5,26.23,38.59,11286,514,12059,93,7468,0,800,1099
Paramount Unified (Los Angeles),Los Angeles,Unified School District,15405,34.8,93.3,13,87.1,43.3,463,165,20.3,12,84007,8.3,27.91,39.2,11380,649,12538,38,7100,0,574,755
Parlier Unified (Fresno),Fresno,Unified School District,3435,51.6,95.9,2,89.7,39.7,83,20,23.1,10,67245,7.8,14.64,23.05,11408,884,12730,177,6578,33,1195,1006
Pasadena Unified (Los Angeles),Los Angeles,Unified School District,18410,18,59.6,44,79.8,43.7,480,242,21.6,13,74041,11.4,33.19,42.62,13206,461,13288,45,7692,13,958,1376
Paso Robles Joint Unified (San Luis Obispo),San Luis Obispo,Unified School District,6814,19.2,48.8,38,91.1,34.3,169,58,22.2,12,71102,13,35.18,49.47,11166,624,11508,180,7164,0,640,1028
Patterson Joint Unified (Stanislaus),Stanislaus,Unified School District,6083,33.3,74.2,30,85.9,24.2,93,65,0,N/A,70025,11.1,23.84,37.27,10623,1252,11774,44,7221,8,542,871
Piedmont City Unified (Alameda),Alameda,Unified School District,2692,1.8,1,43,97.8,93.8,210,156,16.1,10,N/A,3.5,83.63,86.01,15048,558,15122,208,10063,0,1130,759
Pierce Joint Unified (Colusa),Colusa,Unified School District,1480,32.6,66.9,26,94.5,29.1,30,23,22,9,69467,6.6,27.99,35.07,9895,962,11652,145,6498,8,953,576
Pittsburg Unified (Contra Costa),Contra Costa,Unified School District,11489,30.9,71.9,39,84.9,33.3,241,57,21.1,8,72770,13.6,19.87,33.26,11404,641,12132,83,7276,23,684,980
Placentia-Yorba Linda Unified (Orange),Orange,Unified School District,25798,15.6,33.5,51,95.5,53.9,1090,613,24.1,14,84565,7.2,59.44,67.62,10365,672,10759,24,7068,7,354,654
Pleasanton Unified (Alameda),Alameda,Unified School District,14778,9.7,6.7,50,95.6,67,776,564,22.1,12,89558,3.6,76.92,80.82,10075,440,10526,0,7091,0,529,539
Plumas Unified (Plumas),Plumas,Unified School District,2133,3.6,47.5,29,85.5,25.4,36,15,20.2,10,57255,21.5,32.97,45.9,13298,1022,14795,162,7262,0,932,2164
Pomona Unified (Los Angeles),Los Angeles,Unified School District,24314,28.5,83.8,16,80.8,46.4,719,323,13.4,14,81423,10,25.05,38.21,12020,609,12772,35,7653,30,668,981
Porterville Unified (Tulare),Tulare,Unified School District,14368,27.5,82.7,21,85.4,37.3,501,294,22.4,12,80024,11.6,22.88,38.7,11103,752,12911,241,6933,182,388,933
Potter Valley Community Unified (Mendocino),Mendocino,Unified School District,270,17,67,40,87.5,14.3,2,0,14.5,4,N/A,12.1,19.85,31.54,14874,908,15274,187,8756,0,1321,1088
Poway Unified (San Diego),San Diego,Unified School District,35956,11.7,14.2,55,94.7,75.5,1997,1163,23.9,13,78935,5.2,66.46,74.1,9932,377,10208,116,6630,13,533,781
Princeton Joint Unified (Glenn),Glenn,Unified School District,169,17.8,69.8,34,redacted,0,0,N/A,12.3,6,N/A,13.1,34.62,40.78,13571,1198,16073,146,6877,0,1095,1337
Ramona City Unified (San Diego),San Diego,Unified School District,5546,14.6,39.3,38,91.6,41.2,171,116,23.1,11,71367,15.3,38.39,52.45,9918,389,11095,12,6206,58,740,989
Redlands Unified (San Bernardino),San Bernardino,Unified School District,21395,9.1,56.5,51,90.7,48.6,783,330,22.3,14,82594,11.6,44.1,58.86,10290,356,10994,87,6631,12,459,910
Redondo Beach Unified (Los Angeles),Los Angeles,Unified School District,9788,4.9,13.8,55,95.8,63.6,421,342,23,10,82747,7.2,65.6,73.89,9249,179,10013,0,6389,40,592,684
Reef-Sunset Unified (Kings),Kings,Unified School District,2650,55.8,89.6,4,94,46.8,66,98,22.6,11,69940,9.2,13.94,21.54,11696,932,13457,22,6854,25,1001,806
Rialto Unified (San Bernardino),San Bernardino,Unified School District,25684,27.6,82.5,18,85.4,39.9,629,394,22.7,14,84215,9.7,18.28,30.56,11411,683,12530,0,7159,0,612,1220
Rim of the World Unified (San Bernardino),San Bernardino,Unified School District,3521,11.2,50.6,38,89.5,22.4,65,49,22.9,15,71683,19.1,24.51,38.02,11232,450,11542,60,6851,6,993,1271
Ripon Unified (San Joaquin),San Joaquin,Unified School District,4219,10.4,36.4,47,77.4,34.4,107,77,23.8,7,68976,12.3,46.29,60.73,9075,533,9466,81,5950,130,666,656
River Delta Joint Unified (Sacramento),Sacramento,Unified School District,2350,28.6,49.6,41,90.8,35.3,59,39,22.2,8,56632,12,29.47,39.15,11483,851,12778,96,6862,0,672,1530
Riverbank Unified (Stanislaus),Stanislaus,Unified School District,2875,43.1,78.4,19,94,12.8,20,18,19.9,10,71176,9.8,21.51,33.65,13565,878,13640,122,8699,0,829,901
Riverdale Joint Unified (Fresno),Fresno,Unified School District,1631,36.1,85.2,18,92.1,50,64,42,19.9,12,68516,9.7,25.45,38.81,11621,1030,13057,218,7086,0,779,1254
Riverside Unified (Riverside),Riverside,Unified School District,42769,16.9,61,39,91,51.9,1481,673,22.3,13,92123,10.7,34.12,47.62,11736,661,11655,146,7680,2,569,861
Rocklin Unified (Placer),Placer,Unified School District,13253,3.7,15.8,39,94.8,70.6,758,352,21.3,11,75254,7.4,62.24,69.77,9101,384,9883,107,6102,20,498,590
Round Valley Unified (Mendocino),Mendocino,Unified School District,435,20.7,48,40,79.2,0,0,0,14.9,7,54504,42.7,12.67,13.91,18355,1286,20289,227,10462,0,2348,2115
Rowland Unified (Los Angeles),Los Angeles,Unified School District,14274,26.3,70.9,38,86.4,45,443,212,23.3,14,85939,9.1,40.49,49.83,12002,749,12228,0,7657,26,574,842
Sacramento City Unified (Sacramento),Sacramento,Unified School District,46815,20,68.2,63,82.5,47.5,1164,684,21.7,13,72113,15.2,31.46,39.41,11618,335,12939,74,7885,5,560,996
Saddleback Valley Unified (Orange),Orange,Unified School District,27803,17.2,26,50,93,56.7,1288,707,24,14,83025,7.1,51.84,64.56,10012,444,10762,56,7114,0,520,690
Saint Helena Unified (Napa),Napa,Unified School District,1199,23.4,10.2,37,91.6,44,48,52,15.1,11,114774,8.2,49.83,64.04,23574,1125,26243,296,15193,110,1938,1405
San Bernardino City Unified (San Bernardino),San Bernardino,Unified School District,53152,27.3,86.5,25,82.1,31.2,1001,700,21.6,12,83100,17.1,23.28,36.4,13108,737,13841,0,8057,28,620,1453
San Diego Unified (San Diego),San Diego,Unified School District,128040,23.9,60,56,82,70,4969,2519,19.6,14,80798,12.4,46.03,55.59,13256,401,12825,39,8526,11,544,1636
San Francisco Unified (San Francisco),San Francisco,Unified School District,60133,27.4,53.4,62,73.1,70,2627,1602,17.5,11,71563,7.9,50.96,54.59,12148,515,15169,93,6340,0,702,1093
San Gabriel Unified (Los Angeles),Los Angeles,Unified School District,6302,25.4,57.1,47,44.8,49.5,274,136,19.4,8,74720,9.3,50.43,60.72,11291,500,11759,75,7553,0,658,1080
San Jacinto Unified (Riverside),Riverside,Unified School District,11220,21.6,77.1,34,86.2,39.2,246,73,21.6,9,79014,12.4,20.45,35.79,11208,756,12287,0,7529,0,705,780
San Jose Unified (Santa Clara),Santa Clara,Unified School District,32004,21.8,44.8,48,89.5,53.9,1239,579,20.1,9,75422,10.4,43.62,54.19,12097,413,11674,152,7140,0,629,1294
San Juan Unified (Sacramento),Sacramento,Unified School District,49255,12.2,50.3,45,78.3,36.5,1255,597,21.3,13,76908,15.3,34.07,44.37,10957,565,11322,52,6945,37,545,866
San Leandro Unified (Alameda),Alameda,Unified School District,8638,28.7,60.6,56,86.4,32.6,195,119,21.2,11,88515,13.7,25.61,38.83,11171,295,11514,103,7159,0,692,929
San Lorenzo Unified (Alameda),Alameda,Unified School District,11739,27,66.5,48,90.2,47.3,431,181,20.1,11,82317,12.6,23.02,31.01,11680,452,11906,64,7291,9,686,933
San Lorenzo Valley Unified (Santa Cruz),Santa Cruz,Unified School District,4921,2.7,16.7,34,92.1,45.3,117,41,23.1,8,69006,6.9,42.9,58.55,10706,573,11481,123,6356,0,1026,1108
San Luis Coastal Unified (San Luis Obispo),San Luis Obispo,Unified School District,7718,11.8,33.5,40,94.5,59.7,299,184,19.9,11,74561,9.7,61.55,66.79,12327,519,12705,229,7349,0,809,1244
San Marcos Unified (San Diego),San Diego,Unified School District,20970,16.8,36.6,43,95.3,63,856,459,24.5,10,72922,4.5,49.73,65.54,10185,550,10421,100,7071,87,437,791
San Marino Unified (Los Angeles),Los Angeles,Unified School District,3074,12,2.9,44,95.3,90.1,237,168,20,11,79416,3.5,85.82,90.05,13356,726,13248,199,8207,58,1248,1149
San Pasqual Valley Unified (Imperial),Imperial,Unified School District,712,27.8,93.7,42,69.2,8.3,3,4,14.9,11,72211,23.2,12.5,21.73,20479,1187,20206,586,10488,13,1906,2642
San Ramon Valley Unified (Contra Costa),Contra Costa,Unified School District,32425,5.1,3.8,53,97.4,73.4,1768,1432,22.5,10,74794,4.5,77.08,81.68,10099,396,10552,125,6621,29,475,738
Sanger Unified (Fresno),Fresno,Unified School District,11722,17.6,70.8,32,89,55.5,386,71,19.8,10,64581,7.8,39.63,48.37,11113,849,12774,83,6864,2,529,1142
Santa Ana Unified (Orange),Orange,Unified School District,54505,39.8,86.5,8,91.5,50.2,1797,1370,22.1,13,91640,6.2,22.41,27.81,12520,525,13828,135,8159,3,795,935
Santa Barbara Unified (Santa Barbara),Santa Barbara,Unified School District,15185,23.5,48.6,37,87.6,51.2,757,565,22.4,11,75994,9.6,42.65,52.94,11360,519,11974,126,6701,163,673,1056
Santa Clara Unified (Santa Clara),Santa Clara,Unified School District,15409,25,35.8,62,84.9,44.2,399,299,21.4,11,100971,9.3,49.36,58.16,14778,685,16969,0,9671,13,958,1061
Santa Monica-Malibu Unified (Los Angeles),Los Angeles,Unified School District,11005,8.4,24.5,49,92.5,71.6,598,403,19.6,12,82581,9.4,61.79,74.04,14597,517,14499,73,9163,201,879,1396
Santa Paula Unified (Ventura),Ventura,Unified School District,5454,38.4,82.3,5,94.4,31.7,113,88,19.9,11,75430,7.7,23.3,33.33,12041,719,12705,144,7563,12,764,877
Scott Valley Unified (Siskiyou),Siskiyou,Unified School District,655,2.7,57.9,41,97.8,36.4,16,20,16.7,8,55030,19.2,48.4,49.85,13262,1479,14433,571,7528,0,1174,1356
Scotts Valley Unified (Santa Cruz),Santa Cruz,Unified School District,2505,2.2,9.7,31,96.3,65.7,119,76,22.1,10,62976,8,64.55,75.14,10384,571,10181,92,6926,0,632,747
Selma Unified (Fresno),Fresno,Unified School District,6459,25.5,80.2,11,83.9,41.9,170,40,20.5,11,75905,11.7,21.86,41.5,12293,1011,12879,107,7960,0,760,908
Shandon Joint Unified (San Luis Obispo),San Luis Obispo,Unified School District,310,48.4,67.7,24,92.9,7.7,1,N/A,16.2,8,60481,13.5,23.13,41.51,13105,1232,15629,147,8190,0,1240,1109
Shoreline Unified (Marin),Marin,Unified School District,515,37.3,61,36,95.1,48.7,19,13,12.5,12,83414,19.8,39.92,50.81,26501,1194,29845,299,16583,280,1748,3062
Sierra Sands Unified (Kern),Kern,Unified School District,5020,7.8,48.7,42,89.9,25.7,78,10,21.5,12,64523,14,33.68,50.13,10453,810,11381,54,6703,0,648,959
Sierra Unified (Fresno),Fresno,Unified School District,1323,1.3,46.9,37,95.9,41.5,49,16,18.9,13,67088,21.1,34.03,50.6,12870,1045,12915,0,7685,53,834,1678
Sierra-Plumas Joint Unified (Sierra),Sierra,Unified School District,376,4,36.7,18,100,50,12,9,17,11,61173,9.3,33.81,45.41,13472,896,15345,204,7918,0,1926,966
Silver Valley Unified (San Bernardino),San Bernardino,Unified School District,2168,6.6,55.3,56,93.9,24.3,26,7,16.8,9,68240,9.2,38.96,47.94,15726,271,15368,0,8588,2,1568,1839
Simi Valley Unified (Ventura),Ventura,Unified School District,17149,10.9,31.1,47,85.2,42,497,202,25.3,15,76651,10.6,42.52,55.87,10117,482,10597,118,6567,25,516,832
