District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Tracy Joint Unified (San Joaquin),San Joaquin,Unified School District,17530,23.7,42,56,85.71,36.1,518,0,23.3,10,65205,N/A,N/A,N/A,6943,260,7707,54,4691,8,288,536
Orange Unified (Orange),Orange,Unified School District,30373,25.7,35.8,46,90.96,35.8,779,0,24.6,11,70237,N/A,N/A,N/A,6987,220,8116,49,4758,4,234,546
Santa Clara Unified (Santa Clara),Santa Clara,Unified School District,15383,31.6,42.6,62,81.13,35.8,333,0,22.8,10,69674,N/A,N/A,N/A,8962,327,8250,0,5676,8,374,749
Healdsburg Unified (Sonoma),Sonoma,Unified School District,1982,35.6,53.9,34,86.51,35.4,68,0,23.1,14,59864,N/A,N/A,N/A,8519,312,9376,13,5881,0,647,826
San Leandro Unified (Alameda),Alameda,Unified School District,8822,Not Certified,54.1,59,82.1,35.4,202,0,22.6,11,74037,N/A,N/A,N/A,7565,285,8186,19,5314,0,329,394
Woodland Joint Unified (Yolo),Yolo,Unified School District,10403,28.9,61.9,36,84.45,35.4,218,0,24.5,12,61900,N/A,N/A,N/A,7788,413,8303,26,4577,10,532,860
Central Unified (Fresno),Fresno,Unified School District,14817,14.2,62.6,51,72.99,35.1,284,0,25.7,10,62192,N/A,N/A,N/A,6980,362,7481,75,4223,19,424,689
West Contra Costa Unified (Contra Costa),Contra Costa,Unified School District,29978,33.5,67.7,47,76.99,35.1,612,0,22.9,10,53775,N/A,N/A,N/A,8615,415,9735,259,5392,5,512,841
Lodi Unified (San Joaquin),San Joaquin,Unified School District,30528,Not Certified,62.1,59,76.71,34.8,658,0,24.2,11,61233,N/A,N/A,N/A,7596,371,8669,31,5052,0,466,540
Los Angeles Unified (Los Angeles),Los Angeles,Unified School District,667251,Not Certified,74.3,29,64.75,34.6,12462,0,20.2,13,67084,N/A,N/A,N/A,10045,626,11206,192,6818,23,426,915
Fairfield-Suisun Unified (Solano),Solano,Unified School District,21534,17.1,48.6,68,83.51,34.5,478,0,24.9,13,64692,N/A,N/A,N/A,7115,265,7651,28,4551,6,441,474
Dinuba Unified (Tulare),Tulare,Unified School District,6012,30.6,71.1,10,94.14,34.2,161,0,19.7,11,61339,N/A,N/A,N/A,8007,367,9051,95,5484,81,423,716
El Rancho Unified (Los Angeles),Los Angeles,Unified School District,10381,24,70.9,3,88.13,33.5,261,0,24.2,14,66679,N/A,N/A,N/A,8278,421,8357,30,5471,0,440,672
Surprise Valley Joint Unified (Modoc),Modoc,Unified School District,131,9.9,69.5,41,85.71,redacted,redacted,0,9.8,11,47080,N/A,N/A,N/A,15635,1073,16229,205,9770,0,1748,612
Ventura Unified (Ventura),Ventura,Unified School District,17509,14.7,48.1,42,90.12,33.3,428,0,23.4,13,65041,N/A,N/A,N/A,7739,287,8093,49,4815,20,386,697
Lincoln Unified (San Joaquin),San Joaquin,Unified School District,8909,Not Certified,54.3,60,86.25,33.1,179,0,25.2,14,59901,N/A,N/A,N/A,6634,394,7366,47,4575,2,396,404
Lucia Mar Unified (San Luis Obispo),San Luis Obispo,Unified School District,10561,15.5,49.6,39,89.56,33.1,253,0,23.7,14,60462,N/A,N/A,N/A,7242,403,8143,86,5037,29,401,572
Lynwood Unified (Los Angeles),Los Angeles,Unified School District,16359,40.2,78.5,9,58.56,33,284,0,29.6,11,67886,N/A,N/A,N/A,7737,285,9204,13,4841,29,628,408
Martinez Unified (Contra Costa),Contra Costa,Unified School District,4061,8.6,26.1,46,89.87,33,95,0,22.4,13,61495,N/A,N/A,N/A,7236,226,8233,33,4982,0,466,350
Travis Unified (Solano),Solano,Unified School District,5343,3.5,21.3,61,93.81,33,121,0,25,12,68920,N/A,N/A,N/A,7058,245,7838,50,4442,0,443,691
Lindsay Unified (Tulare),Tulare,Unified School District,4150,52.3,74.8,11,69.89,32.8,66,0,23.3,7,57521,N/A,N/A,N/A,8797,848,10480,34,5571,0,632,936
Santa Ana Unified (Orange),Orange,Unified School District,57319,54.7,84.3,8,82.6,32.7,1166,0,23.8,14,78059,N/A,N/A,N/A,9060,442,9280,79,6166,0,322,585
Yosemite Unified (Madera),Madera,Unified School District,2285,0.3,34.2,28,85.66,32.7,81,0,21.9,13,65234,N/A,N/A,N/A,9392,417,9764,0,5409,44,843,627
Covina-Valley Unified (Los Angeles),Los Angeles,Unified School District,13651,12.5,56.2,30,94.05,32.3,411,0,24,10,68174,N/A,N/A,N/A,7479,266,8102,0,4867,1,527,503
Mammoth Unified (Mono),Mono,Unified School District,1129,38.8,57.1,6,71.43,32.3,21,0,18.4,10,63260,N/A,N/A,N/A,11563,379,12067,110,7992,0,745,844
Bonita Unified (Los Angeles),Los Angeles,Unified School District,9898,5.7,29,47,93.96,32.1,264,0,25.5,12,70812,N/A,N/A,N/A,7397,270,7911,109,4849,6,454,509
Mendota Unified (Fresno),Fresno,Unified School District,2779,77.3,92.9,1,75.8,32,39,0,20.6,10,58540,N/A,N/A,N/A,7883,958,9128,0,5613,0,608,372
Upland Unified (San Bernardino),San Bernardino,Unified School District,14232,12.3,43.9,47,94.53,32,419,0,24.7,14,73757,N/A,N/A,N/A,7225,239,7403,32,5158,75,359,433
Paso Robles Joint Unified (San Luis Obispo),San Luis Obispo,Unified School District,6794,19.7,47.6,40,87.09,31.9,163,0,23.7,15,66159,N/A,N/A,N/A,8165,320,8695,52,5485,8,475,752
Butte Valley Unified (Siskiyou),Siskiyou,Unified School District,325,25.8,73.2,37,85.19,redacted,redacted,0,15,11,52348,N/A,N/A,N/A,11175,664,13003,218,6626,0,1084,872
Southern Kern Unified (Kern),Kern,Unified School District,3256,12.4,64.4,45,61.92,31.8,50,0,24.6,12,66509,N/A,N/A,N/A,7583,221,8280,107,4677,0,344,611
Manteca Unified (San Joaquin),San Joaquin,Unified School District,23406,17.8,52.4,53,88.86,31.6,483,0,26.7,12,63710,N/A,N/A,N/A,6484,250,7576,6,4489,0,281,492
Mt. Diablo Unified (Contra Costa),Contra Costa,Unified School District,34116,21.4,35.7,51,81.9,31.6,735,0,24,10,62184,N/A,N/A,N/A,8000,286,9026,47,5431,18,312,692
Corcoran Joint Unified (Kings),Kings,Unified School District,3381,27.5,78.2,16,88.96,31.4,50,0,19.5,9,61665,N/A,N/A,N/A,8438,769,9308,131,5635,0,513,409
Cuyama Joint Unified (Santa Barbara),Santa Barbara,Unified School District,246,Not Certified,83.7,28,42.5,redacted,redacted,0,16.4,11,52710,N/A,N/A,N/A,12574,1041,13511,60,6900,0,1031,1457
Desert Sands Unified (Riverside),Riverside,Unified School District,29123,23.1,59.6,31,83.79,31.2,593,0,26.4,11,71662,N/A,N/A,N/A,8040,329,8835,118,5069,0,439,668
Norwalk-La Mirada Unified (Los Angeles),Los Angeles,Unified School District,20421,Not Certified,63.7,24,90.03,31.2,464,0,25.1,14,72062,N/A,N/A,N/A,8095,363,9341,10,5296,4,361,570
Riverside Unified (Riverside),Riverside,Unified School District,42532,16.7,55,43,80.96,31.2,926,0,25.2,15,71472,N/A,N/A,N/A,7615,374,8367,54,5092,2,315,546
Cotati-Rohnert Park Unified (Sonoma),Sonoma,Unified School District,6003,18.2,39.7,44,77.57,31.1,119,0,25.4,14,61333,N/A,N/A,N/A,7884,158,8041,39,5657,3,419,435
Lompoc Unified (Santa Barbara),Santa Barbara,Unified School District,9878,23.4,59.4,42,85.92,31.1,195,0,21.8,13,64645,N/A,N/A,N/A,7640,316,8264,109,4745,2,519,644
Alvord Unified (Riverside),Riverside,Unified School District,19803,42.8,75.2,26,76.95,30.4,348,0,26.7,12,74589,N/A,N/A,N/A,7726,378,7871,28,5104,0,399,542
Hilmar Unified (Merced),Merced,Unified School District,2253,23.3,56.3,34,91.67,30.3,47,0,19.7,15,59096,N/A,N/A,N/A,7464,390,7891,119,4907,16,501,676
San Juan Unified (Sacramento),Sacramento,Unified School District,47116,9.6,41.7,39,79.77,30.2,1150,0,23.4,14,69677,N/A,N/A,N/A,8661,465,8697,42,5725,29,409,583
Yuba City Unified (Sutter),Sutter,Unified School District,13200,19.3,59.6,54,84.28,30.2,250,0,22.1,11,55577,N/A,N/A,N/A,7238,476,7890,58,4790,0,382,536
Napa Valley Unified (Napa),Napa,Unified School District,18001,20.7,39.8,46,86.18,30.1,350,0,23.2,12,67564,N/A,N/A,N/A,7806,378,8110,60,5178,2,208,621
Downey Unified (Los Angeles),Los Angeles,Unified School District,22844,16.8,66.7,17,92.01,30,555,0,25.2,13,77546,N/A,N/A,N/A,7497,273,8204,21,5433,0,386,542
Del Norte County Unified (Del Norte),Del Norte,Unified School District,3716,10.1,63.9,45,85.16,29.8,73,0,21.6,14,60562,N/A,N/A,N/A,9486,555,9919,19,6125,8,546,1019
Visalia Unified (Tulare),Tulare,Unified School District,27118,17.5,60,39,84.34,29.8,519,0,25,14,63396,N/A,N/A,N/A,7099,489,7875,100,4763,0,291,395
Vallejo City Unified (Solano),Solano,Unified School District,15603,15.7,59.9,62,53.96,29.7,223,0,23.3,13,58790,N/A,N/A,N/A,8842,394,9431,42,5459,0,840,561
Turlock Unified (Stanislaus),Stanislaus,Unified School District,13688,26.5,59.6,42,83.65,29.6,288,0,21.9,13,71198,N/A,N/A,N/A,7890,391,8737,57,5722,0,361,379
Fresno Unified (Fresno),Fresno,Unified School District,74831,23.8,81.3,41,73.43,29.5,1271,0,20.1,14,65566,N/A,N/A,N/A,8923,440,9710,132,5701,18,338,849
Coachella Valley Unified (Riverside),Riverside,Unified School District,18464,49.8,90.5,3,74.39,29.3,281,0,21.7,9,66267,N/A,N/A,N/A,8666,536,9533,0,5669,0,532,793
Gilroy Unified (Santa Clara),Santa Clara,Unified School District,11077,28,62.4,30,77.96,29.2,179,0,22.2,11,65710,N/A,N/A,N/A,7744,327,8200,80,5028,19,382,675
Washington Unified (Yolo),Yolo,Unified School District,7444,21.9,67.4,53,83.2,29.1,129,0,21,10,57015,N/A,N/A,N/A,7788,323,8168,49,5008,0,513,550
Jurupa Unified (Riverside),Riverside,Unified School District,20088,35.3,70.6,21,81.05,29,378,0,24.8,12,72895,N/A,N/A,N/A,7549,315,8190,39,5161,2,260,675
Sacramento City Unified (Sacramento),Sacramento,Unified School District,47896,23.7,67.1,65,74.61,28.9,800,0,57.3,12,63345,N/A,N/A,N/A,9199,399,9987,46,6159,4,359,824
Southern Humboldt Joint Unified (Humboldt),Humboldt,Unified School District,790,3.7,54.7,21,84.62,28.9,13,0,18.9,12,51145,N/A,N/A,N/A,10817,651,12014,54,6435,21,640,2640
Bear Valley Unified (San Bernardino),San Bernardino,Unified School District,2739,Not Certified,70.2,35,86.79,28.8,68,0,23.8,14,67412,N/A,N/A,N/A,7880,303,8016,83,4728,0,621,742
Yucaipa-Calimesa Joint Unified (San Bernardino),San Bernardino,Unified School District,9759,9.9,43.8,37,87.28,28.8,208,0,25.4,13,72332,N/A,N/A,N/A,7419,163,7870,48,4749,0,467,709
Albany City Unified (Alameda),Alameda,Unified School District,3879,Not Certified,18.7,53,89.14,28.6,78,0,21.6,11,65760,N/A,N/A,N/A,8758,386,13891,96,6079,0,766,345
Black Oak Mine Unified (El Dorado),El Dorado,Unified School District,1636,0.2,34.8,13,95.2,28.6,34,0,20.6,12,56785,N/A,N/A,N/A,9184,344,9469,162,5114,0,764,1434
Val Verde Unified (Riverside),Riverside,Unified School District,19687,25.2,79.5,29,81.92,28.6,376,0,26.3,9,67341,N/A,N/A,N/A,6942,279,18357,46,4917,0,448,561
Hacienda la Puente Unified (Los Angeles),Los Angeles,Unified School District,20942,19.9,72.8,22,87.3,28.4,394,0,22.2,10,66027,N/A,N/A,N/A,8154,368,9448,64,5017,3,540,493
Imperial Unified (Imperial),Imperial,Unified School District,3635,24.2,41.3,25,96.04,28.4,55,0,22.7,9,71052,N/A,N/A,N/A,6935,313,7628,71,4638,0,369,671
Colusa Unified (Colusa),Colusa,Unified School District,1363,29.6,69.6,36,79,28.2,24,0,20.2,13,59728,N/A,N/A,N/A,7564,393,8344,188,4985,3,550,492
West Covina Unified (Los Angeles),Los Angeles,Unified School District,14665,7.4,61.8,43,96.98,27.9,253,0,24.4,9,66571,N/A,N/A,N/A,8034,549,8838,46,5183,6,522,510
Ceres Unified (Stanislaus),Stanislaus,Unified School District,12491,31.6,77.5,34,84.3,27.8,214,0,23.6,11,66393,N/A,N/A,N/A,7727,389,8869,32,5096,0,359,541
Emery Unified (Alameda),Alameda,Unified School District,778,11.8,84.8,41,64.29,redacted,redacted,0,18.2,5,64706,N/A,N/A,N/A,14226,482,16974,265,7948,0,1788,836
Murrieta Valley Unified (Riverside),Riverside,Unified School District,22318,4.2,25.9,50,89.73,27.8,438,0,25.8,10,76370,N/A,N/A,N/A,7284,225,7555,73,4800,16,367,597
Pierce Joint Unified (Colusa),Colusa,Unified School District,1309,31.6,63,30,88,27.5,25,0,20.3,9,57833,N/A,N/A,N/A,7188,455,8205,108,4484,21,665,378
Banning Unified (Riverside),Riverside,Unified School District,4595,23,90.4,42,82.41,27.4,65,0,22,10,64910,N/A,N/A,N/A,9417,409,9171,51,5754,126,656,748
Carpinteria Unified (Santa Barbara),Santa Barbara,Unified School District,2327,37.6,58.4,28,89.06,27.3,47,0,20.9,13,N/A,N/A,N/A,N/A,9852,579,10743,321,5522,462,587,937
Newark Unified (Alameda),Alameda,Unified School District,6654,23.6,45.7,55,87.93,27,124,0,25.7,11,73425,N/A,N/A,N/A,7752,264,8360,38,4978,7,498,441
Firebaugh-Las Deltas Unified (Fresno),Fresno,Unified School District,2222,32.9,90.8,7,86.26,26.5,43,0,23.1,12,57628,N/A,N/A,N/A,8068,545,8970,106,4713,11,667,859
Lake Elsinore Unified (Riverside),Riverside,Unified School District,22065,15.3,54.6,43,89.75,26.5,398,0,22.9,11,72297,N/A,N/A,N/A,7721,337,8091,54,5020,117,394,540
Patterson Joint Unified (Stanislaus),Stanislaus,Unified School District,5873,33.7,63.6,34,85.92,26.5,99,0,23.7,9,60472,N/A,N/A,N/A,6893,355,7998,31,4711,22,421,525
Oceanside Unified (San Diego),San Diego,Unified School District,21081,20.3,55.7,45,81.77,26.2,338,0,25.6,15,73202,N/A,N/A,N/A,7887,294,8600,8,5317,7,365,734
Colton Joint Unified (San Bernardino),San Bernardino,Unified School District,23401,25.9,74.9,21,74.71,26,327,0,21.3,11,69200,N/A,N/A,N/A,8174,275,8061,61,5293,9,440,787
Lake Tahoe Unified (El Dorado),El Dorado,Unified School District,3878,26.7,59.4,42,86.01,26,78,0,21.3,14,65584,N/A,N/A,N/A,8928,436,9455,99,5777,0,509,679
Mariposa County Unified (Mariposa),Mariposa,Unified School District,2057,2.2,50.2,28,92.39,26,45,0,20.7,14,56896,N/A,N/A,N/A,9061,611,9486,88,5407,14,604,1166
Dos Palos Oro Loma Joint Unified (Merced),Merced,Unified School District,2399,29.7,85,27,95.07,25.9,55,0,21.5,13,N/A,N/A,N/A,N/A,7899,443,8911,90,4819,77,608,834
Windsor Unified (Sonoma),Sonoma,Unified School District,5695,18.9,35.6,41,79.58,25.7,97,0,20.7,10,59865,N/A,N/A,N/A,7883,273,8381,59,5467,12,303,918
Maxwell Unified (Colusa),Colusa,Unified School District,386,Not Certified,63,37,95.35,25.6,11,0,16.6,16,62936,N/A,N/A,N/A,9200,410,9933,155,5652,0,1113,734
Winters Joint Unified (Yolo),Yolo,Unified School District,1629,33.9,60.3,34,81.21,25.6,34,0,19.5,12,60068,N/A,N/A,N/A,8062,273,8210,10,4933,19,747,756
Fort Bragg Unified (Mendocino),Mendocino,Unified School District,1885,18.7,64.2,42,88.97,25.4,30,0,17.3,12,51061,N/A,N/A,N/A,9386,490,9752,387,5990,82,578,660
Hughson Unified (Stanislaus),Stanislaus,Unified School District,2163,26.9,55.4,37,80.68,25.4,44,0,23.1,13,67077,N/A,N/A,N/A,8105,454,9198,417,5641,0,650,367
Calaveras Unified (Calaveras),Calaveras,Unified School District,3374,0.9,45.8,21,88.64,25.1,67,0,23.1,14,63144,N/A,N/A,N/A,7350,405,8105,65,4841,(4),576,732
Holtville Unified (Imperial),Imperial,Unified School District,1644,41.7,100,15,88.81,25,31,0,20.4,10,61371,N/A,N/A,N/A,8573,362,9413,83,5233,0,936,649
Moreno Valley Unified (Riverside),Riverside,Unified School District,36615,Not Certified,76.3,37,69.94,25,497,0,25.8,12,70736,N/A,N/A,N/A,7839,329,8073,1,5309,3,230,640
Escalon Unified (San Joaquin),San Joaquin,Unified School District,2854,19.8,50.9,39,89.26,24.9,54,0,21.7,12,60531,N/A,N/A,N/A,7233,333,7604,0,4814,0,393,615
Los Banos Unified (Merced),Merced,Unified School District,9250,29.9,49.9,27,88.46,24.8,156,0,27.1,11,67131,N/A,N/A,N/A,7530,561,7877,95,4835,0,406,513
Amador County Unified (Amador),Amador,Unified School District,4049,2.5,40,28,85.85,24.7,87,0,25.1,14,60279,N/A,N/A,N/A,6390,313,7391,101,3811,2,519,528
Newman-Crows Landing Unified (Stanislaus),Stanislaus,Unified School District,2841,Not Certified,74.3,29,90.78,24.7,49,0,23.9,12,65806,N/A,N/A,N/A,7414,460,7945,103,5384,0,570,352
Gonzales Unified (Monterey),Monterey,Unified School District,2335,47.2,88.1,5,85.71,24.5,39,0,21.4,10,63638,N/A,N/A,N/A,7812,267,8927,75,4678,0,754,690
Ukiah Unified (Mendocino),Mendocino,Unified School District,6214,23.1,67.1,44,82.46,24.5,98,0,21.9,13,56604,N/A,N/A,N/A,8599,405,9341,35,5672,0,640,597
Silver Valley Unified (San Bernardino),San Bernardino,Unified School District,2561,Not Certified,49.8,51,72.57,24.4,20,0,19.5,8,61947,N/A,N/A,N/A,11679,607,12213,0,6318,0,1337,1309
Madera Unified (Madera),Madera,Unified School District,19576,34.3,83.5,16,81.77,24.3,241,0,24.4,10,59208,N/A,N/A,N/A,7475,513,8160,106,4767,1,407,667
Paramount Unified (Los Angeles),Los Angeles,Unified School District,15791,Not Certified,91.5,15,75.34,24.2,232,0,25,12,69924,N/A,N/A,N/A,8193,324,8538,20,5319,0,429,547
Kerman Unified (Fresno),Fresno,Unified School District,4561,27.2,79.5,21,83.46,24.1,54,0,24.2,10,60048,N/A,N/A,N/A,6993,397,7449,86,4431,0,616,670
Oakdale Joint Unified (Stanislaus),Stanislaus,Unified School District,5304,10.6,40.3,35,85.18,24.1,96,0,23.3,13,65137,N/A,N/A,N/A,7418,309,8208,0,4875,0,402,713
Lucerne Valley Unified (San Bernardino),San Bernardino,Unified School District,2567,2.6,51.6,38,78.26,24,25,0,23.7,6,60806,N/A,N/A,N/A,8814,851,11382,15,5482,0,1095,695
Farmersville Unified (Tulare),Tulare,Unified School District,2628,42.1,88.8,8,88.36,23.8,39,0,22.8,11,64175,N/A,N/A,N/A,8680,488,9466,132,5864,21,554,476
Montebello Unified (Los Angeles),Los Angeles,Unified School District,32046,Not Certified,75.5,6,81.14,23.5,496,0,28.9,15,75859,N/A,N/A,N/A,8026,298,8747,26,5278,19,386,837
Vista Unified (San Diego),San Diego,Unified School District,25843,25.2,50.7,41,80.88,23.5,519,0,25.1,13,63897,N/A,N/A,N/A,7922,327,8662,57,5467,95,322,594
Caruthers Unified (Fresno),Fresno,Unified School District,1302,35.9,83.9,27,93.28,23.2,26,0,19.1,9,55940,N/A,N/A,N/A,8460,529,9615,172,5213,0,735,730
Soledad Unified (Monterey),Monterey,Unified School District,4562,46.4,92,7,85.39,23.1,59,0,24.3,10,60774,N/A,N/A,N/A,7889,489,9066,29,5275,0,496,706
Apple Valley Unified (San Bernardino),San Bernardino,Unified School District,14823,8.8,58.3,48,77.11,23,251,0,25.1,11,69080,N/A,N/A,N/A,7155,343,7695,0,4891,0,400,487
Bellflower Unified (Los Angeles),Los Angeles,Unified School District,13976,21.7,66.5,43,84.34,22.9,232,0,24.1,13,67449,N/A,N/A,N/A,7354,243,8674,42,4801,10,374,568
McFarland Unified (Kern),Kern,Unified School District,3328,45.5,96.8,2,70.83,22.9,51,0,19.5,10,60000,N/A,N/A,N/A,9604,629,10302,121,6036,88,639,640
Marysville Joint Unified (Yuba),Yuba,Unified School District,9858,22.9,75.9,52,79.76,22.8,131,0,22.2,12,61878,N/A,N/A,N/A,8078,593,8900,33,5092,0,536,913
Twin Rivers Unified (Sacramento),Sacramento,Unified School District,31632,26.4,79.8,59,68.66,22.5,419,0,22.8,11,67979,N/A,N/A,N/A,8733,428,9627,59,5251,0,699,806
Vacaville Unified (Solano),Solano,Unified School District,12639,10.7,36.4,48,79.68,22.4,210,0,23,13,61015,N/A,N/A,N/A,7005,177,7717,33,4596,0,289,723
Azusa Unified (Los Angeles),Los Angeles,Unified School District,10518,31.8,72.6,10,87.81,22.2,165,0,22.5,15,69629,N/A,N/A,N/A,8319,334,9005,38,5619,6,381,518
Baker Valley Unified (San Bernardino),San Bernardino,Unified School District,182,37.9,74.7,21,75,redacted,redacted,0,12.1,5,N/A,N/A,N/A,N/A,14039,751,15012,0,7360,0,2385,949
Palm Springs Unified (Riverside),Riverside,Unified School District,23626,30.5,80.7,30,80.19,22.1,326,0,24.7,10,69505,N/A,N/A,N/A,8196,363,8625,73,5379,0,479,598
Porterville Unified (Tulare),Tulare,Unified School District,13656,26,82.6,26,78.07,22.1,263,0,24.5,12,69017,N/A,N/A,N/A,8394,606,9428,150,5773,161,266,689
Williams Unified (Colusa),Colusa,Unified School District,1275,47.1,77.9,14,75.25,22.1,17,0,22.6,11,59880,N/A,N/A,N/A,6647,322,7723,73,4358,0,553,234
Coalinga-Huron Unified (Fresno),Fresno,Unified School District,4299,49.7,75.9,19,64.15,22,44,0,24.1,12,64945,N/A,N/A,N/A,8513,555,9147,61,5109,0,548,741
Gridley Unified (Butte),Butte,Unified School District,2074,Not Certified,66.8,37,85.63,21.9,33,0,19.8,12,60679,N/A,N/A,N/A,7767,523,8600,137,5262,1,431,684
Calexico Unified (Imperial),Imperial,Unified School District,9269,64.6,77.9,1,81.94,21.8,131,0,24.3,11,65396,N/A,N/A,N/A,8174,381,8988,108,5122,0,523,557
Laytonville Unified (Mendocino),Mendocino,Unified School District,405,4.2,57.3,33,71.88,redacted,redacted,0,16.6,12,55381,N/A,N/A,N/A,11259,700,12089,241,6447,58,1177,1145
Stockton Unified (San Joaquin),San Joaquin,Unified School District,38252,27.8,81.7,46,70.99,21.7,375,0,23.2,10,60307,N/A,N/A,N/A,8828,386,9003,28,5554,0,500,707
Antioch Unified (Contra Costa),Contra Costa,Unified School District,19081,16.6,57.1,60,73.79,21.3,285,0,23.4,12,66763,N/A,N/A,N/A,7394,258,7774,31,5244,0,367,330
Western Placer Unified (Placer),Placer,Unified School District,9170,Not Certified,25.8,37,87.06,21,131,0,20.5,8,67291,N/A,N/A,N/A,7965,388,7363,149,5251,19,563,572
Tehachapi Unified (Kern),Kern,Unified School District,4680,7.4,31.2,33,81.58,20.9,66,0,25,13,61814,N/A,N/A,N/A,7636,314,8251,95,4705,76,494,1007
Mojave Unified (Kern),Kern,Unified School District,2652,14.8,81,54,75.7,20.8,35,0,21.8,9,63595,N/A,N/A,N/A,9012,565,9089,96,5364,0,814,884
Beaumont Unified (Riverside),Riverside,Unified School District,8580,14.5,59.8,47,85.91,20.6,111,0,26.2,8,65896,N/A,N/A,N/A,6757,288,7053,57,4248,3,462,527
Monrovia Unified (Los Angeles),Los Angeles,Unified School District,5955,12.3,58.7,43,88.59,20.6,94,0,25.1,14,70287,N/A,N/A,N/A,8101,260,8811,59,5122,0,637,792
Riverbank Unified (Stanislaus),Stanislaus,Unified School District,2780,43.2,71.5,23,77.78,20.5,34,0,20.9,13,67250,N/A,N/A,N/A,10470,575,11138,50,6997,0,628,755
Hemet Unified (Riverside),Riverside,Unified School District,22268,14.5,72.7,45,80.77,20.3,313,0,25.2,11,68130,N/A,N/A,N/A,7821,311,8538,88,4829,4,502,892
Alpaugh Unified (Tulare),Tulare,Unified School District,498,39.8,85.9,34,75,redacted,redacted,0,15.2,4,47203,N/A,N/A,N/A,10386,389,10804,99,6384,0,1317,327
John Swett Unified (Contra Costa),Contra Costa,Unified School District,1735,15.9,45.1,69,87.59,20,25,0,24.5,9,55845,N/A,N/A,N/A,8349,244,8959,70,5929,0,710,495
Southern Trinity Joint Unified (Trinity),Trinity,Unified School District,122,Not Certified,84.4,10,55.56,redacted,redacted,0,10.6,11,49734,N/A,N/A,N/A,19787,1398,21739,560,10700,0,1641,2815
Snowline Joint Unified (San Bernardino),San Bernardino,Unified School District,8282,11.6,54.4,42,88.01,19.7,114,0,26,13,67259,N/A,N/A,N/A,7058,269,7611,26,4451,18,464,702
Parlier Unified (Fresno),Fresno,Unified School District,3215,58.2,99.4,2,80.38,19.4,32,0,20.3,10,51623,N/A,N/A,N/A,9474,712,10040,62,5652,49,928,711
Willits Unified (Mendocino),Mendocino,Unified School District,1939,Not Certified,71,35,82.89,19,29,0,21.1,12,54581,N/A,N/A,N/A,9804,298,10653,85,6161,0,606,981
Laton Joint Unified (Fresno),Fresno,Unified School District,746,44.5,79.1,0,81.25,redacted,redacted,0,18.7,10,53157,N/A,N/A,N/A,7937,554,9213,99,5239,0,859,361
San Jacinto Unified (Riverside),Riverside,Unified School District,9675,22.7,61.8,37,79.27,18.9,102,0,25.2,10,69546,N/A,N/A,N/A,7423,299,7766,0,4928,0,446,443
North Monterey County Unified (Monterey),Monterey,Unified School District,4412,41.1,72.5,25,85.93,18.6,65,0,23.1,12,61867,N/A,N/A,N/A,8005,538,8972,87,4641,0,498,1116
Walnut Valley Unified (Los Angeles),Los Angeles,Unified School District,14719,9.3,13.3,46,96.79,18.6,286,0,26.7,15,74935,N/A,N/A,N/A,7164,245,7519,29,4766,30,267,603
Selma Unified (Fresno),Fresno,Unified School District,6420,36.6,77.9,15,86.61,18.5,70,0,22.6,12,N/A,N/A,N/A,N/A,8212,500,8205,61,5439,0,532,510
Morongo Unified (San Bernardino),San Bernardino,Unified School District,9233,4.3,60.5,42,81.73,18.3,98,0,24,13,66037,N/A,N/A,N/A,8109,446,8736,31,4975,14,493,824
Needles Unified (San Bernardino),San Bernardino,Unified School District,1026,Not Certified,65.3,44,84.85,18.3,11,0,23.6,16,62908,N/A,N/A,N/A,9243,790,10512,10,6003,0,768,769
Paradise Unified (Butte),Butte,Unified School District,4386,1,54.8,23,85.61,18.3,65,0,22.9,14,56526,N/A,N/A,N/A,9015,530,9901,104,6111,0,523,1277
San Bernardino City Unified (San Bernardino),San Bernardino,Unified School District,54514,Not Certified,84.1,31,66.79,17.7,530,0,21.6,10,67016,N/A,N/A,N/A,9794,470,9719,0,5962,31,482,988
Palo Verde Unified (Riverside),Riverside,Unified School District,3557,8.9,64.9,37,78.63,17.6,34,0,23.2,10,57818,N/A,N/A,N/A,7812,470,8941,7,4832,0,584,845
