District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Needles Unified (San Bernardino),San Bernardino,Unified School District,917,1.1,63.4,45,78.38,27.9,17,0,22.3,15,63685,N/A,N/A,N/A,10284,875,11715,52,6126,0,970,1278
Lake Elsinore Unified (Riverside),Riverside,Unified School District,22171,14.9,56.3,43,89.77,27.8,418,0,23.6,12,73637,N/A,N/A,N/A,7918,377,7734,72,5016,103,403,711
Escalon Unified (San Joaquin),San Joaquin,Unified School District,2851,20.3,47.4,39,92.65,27.7,65,0,22.4,11,62832,N/A,N/A,N/A,7243,306,7651,0,4773,0,409,665
Fort Bragg Unified (Mendocino),Mendocino,Unified School District,1904,17.9,67.9,42,89.92,27.3,30,0,16.4,10,49369,N/A,N/A,N/A,9423,377,10051,367,5893,79,559,729
Manteca Unified (San Joaquin),San Joaquin,Unified School District,23309,18.7,54.8,52,89.41,26.9,433,0,25.3,12,64041,N/A,N/A,N/A,6723,232,7442,5,4588,0,310,494
Apple Valley Unified (San Bernardino),San Bernardino,Unified School District,14676,8.5,59.1,48,80.04,26.7,291,0,25.3,12,69039,N/A,N/A,N/A,7216,365,7548,0,4947,0,366,532
Vista Unified (San Diego),San Diego,Unified School District,25593,24.4,53.4,40,83.22,26.7,574,0,23.2,13,65106,N/A,N/A,N/A,8347,341,8800,56,5750,84,359,626
River Delta Joint Unified (Sacramento),Sacramento,Unified School District,2286,27.6,53.8,40,93.88,26.6,38,0,18.8,7,50718,N/A,N/A,N/A,9330,631,9501,62,5638,0,473,1248
Bellflower Unified (Los Angeles),Los Angeles,Unified School District,13734,21.2,66.8,42,86.63,26.5,275,0,24.6,14,70096,N/A,N/A,N/A,7265,254,7919,43,4830,2,354,551
John Swett Unified (Contra Costa),Contra Costa,Unified School District,1655,14.3,58.7,70,87.69,26.1,30,0,21.8,8,56864,N/A,N/A,N/A,9057,378,9129,64,5859,0,1181,606
Amador County Unified (Amador),Amador,Unified School District,3960,1.9,43.5,29,91.69,26,83,0,25.5,13,58792,N/A,N/A,N/A,6928,421,7336,102,4036,2,666,625
Coachella Valley Unified (Riverside),Riverside,Unified School District,18409,52.7,83.2,3,77.78,25.9,258,0,21.9,10,66149,N/A,N/A,N/A,8725,516,9298,0,5820,0,536,787
Vallejo City Unified (Solano),Solano,Unified School District,15313,15.5,63.5,61,59.05,25.8,211,0,22.7,12,58103,N/A,N/A,N/A,9244,447,9237,39,5659,0,1110,604
Porterville Unified (Tulare),Tulare,Unified School District,13736,25.7,77.4,24,80.54,25.7,315,0,24.8,13,69248,N/A,N/A,N/A,8417,564,8990,160,5727,161,283,681
Azusa Unified (Los Angeles),Los Angeles,Unified School District,10163,30.3,81.8,9,92.38,25.6,179,0,20.6,15,71237,N/A,N/A,N/A,8625,290,9132,36,5786,7,400,529
Black Oak Mine Unified (El Dorado),El Dorado,Unified School District,1569,0.4,37.6,13,95.42,25.5,38,0,20.5,12,58206,N/A,N/A,N/A,9064,419,8948,180,5167,0,673,1209
McFarland Unified (Kern),Kern,Unified School District,3302,46.7,85.7,2,77.63,25.4,47,0,20,9,59389,N/A,N/A,N/A,9531,438,10456,98,5845,93,782,625
Oceanside Unified (San Diego),San Diego,Unified School District,21009,17.2,56.7,45,83.99,25.4,347,0,24.2,15,74078,N/A,N/A,N/A,8209,282,8808,9,5474,7,395,798
Kings Canyon Joint Unified (Fresno),Fresno,Unified School District,9838,32.4,69.6,16,87.42,25.2,142,0,21.8,13,63932,N/A,N/A,N/A,9224,603,9255,387,4978,33,528,1224
Del Norte County Unified (Del Norte),Del Norte,Unified School District,3713,10.2,57.9,46,90.3,25,64,0,20.5,14,60564,N/A,N/A,N/A,9885,578,10012,20,6401,6,498,826
Geyserville Unified (Sonoma),Sonoma,Unified School District,263,41.8,63.5,35,28.57,redacted,redacted,0,14.5,14,60592,N/A,N/A,N/A,11705,428,12496,126,7263,0,1004,665
Shandon Joint Unified (San Luis Obispo),San Luis Obispo,Unified School District,304,33.2,67.8,30,96,redacted,redacted,0,15.8,10,60503,N/A,N/A,N/A,11194,544,12282,30,6640,0,1289,1197
Parlier Unified (Fresno),Fresno,Unified School District,3318,58.2,85.2,1,78.47,24.9,43,0,21.4,10,N/A,N/A,N/A,N/A,8570,536,8481,72,5257,47,827,689
Colton Joint Unified (San Bernardino),San Bernardino,Unified School District,23192,25.3,73.9,20,77.7,24.7,333,0,22,12,68199,N/A,N/A,N/A,7898,257,7825,63,5090,0,420,687
Tehachapi Unified (Kern),Kern,Unified School District,4494,7.4,41.7,34,82.55,24.5,83,0,23.8,13,64243,N/A,N/A,N/A,8072,334,7861,92,4959,70,516,1030
Monrovia Unified (Los Angeles),Los Angeles,Unified School District,5970,12.2,56.7,42,85.38,24.3,114,0,24,14,71575,N/A,N/A,N/A,8103,250,8280,70,5077,0,609,785
Selma Unified (Fresno),Fresno,Unified School District,6415,31.9,83.2,15,89.61,24.3,92,0,21.7,11,N/A,N/A,N/A,N/A,8071,466,8329,78,5239,0,572,532
Snowline Joint Unified (San Bernardino),San Bernardino,Unified School District,8289,11.1,55.4,44,85.54,24.2,140,0,27.4,13,68198,N/A,N/A,N/A,6982,329,7192,27,4388,0,453,740
Mariposa County Unified (Mariposa),Mariposa,Unified School District,1916,2.6,47.8,28,90.12,24.1,35,0,19.7,13,57666,N/A,N/A,N/A,9187,624,9928,94,5638,13,685,1168
Farmersville Unified (Tulare),Tulare,Unified School District,2602,39.2,85.6,8,83.43,24,37,0,20,11,64266,N/A,N/A,N/A,8639,453,9272,134,5742,22,509,488
Coalinga-Huron Unified (Fresno),Fresno,Unified School District,4270,46.6,83.4,19,73.46,23.8,55,0,22.7,13,64337,N/A,N/A,N/A,8759,551,8859,65,5268,0,567,778
Antioch Unified (Contra Costa),Contra Costa,Unified School District,18872,16.9,58.2,61,74.39,23.6,312,0,23,12,67240,N/A,N/A,N/A,7512,201,7958,31,5378,0,357,355
Esparto Unified (Yolo),Yolo,Unified School District,1042,26.6,67.1,33,87.63,23.5,19,0,23.3,9,58816,N/A,N/A,N/A,8589,433,9062,0,5145,8,1126,807
Los Banos Unified (Merced),Merced,Unified School District,9515,28.1,74.7,26,89.26,23.5,129,0,26.8,11,63245,N/A,N/A,N/A,7348,407,7379,88,4733,0,439,466
Oakdale Joint Unified (Stanislaus),Stanislaus,Unified School District,5330,10,41.3,35,88.72,23.5,104,0,22.9,13,65667,N/A,N/A,N/A,7571,304,8179,0,4996,0,366,709
Ukiah Unified (Mendocino),Mendocino,Unified School District,6237,24.2,58.4,44,84.23,23.5,104,0,20.7,11,56319,N/A,N/A,N/A,9034,467,9484,41,5974,0,637,587
San Jacinto Unified (Riverside),Riverside,Unified School District,9851,22,70.4,36,78.75,23.4,140,0,24.9,8,68496,N/A,N/A,N/A,7440,260,7810,0,4888,0,487,464
Modoc Joint Unified (Modoc),Modoc,Unified School District,846,5.8,56.5,30,89.47,23.1,12,0,18.4,12,51813,N/A,N/A,N/A,9144,571,9805,149,5463,0,1009,504
Paramount Unified (Los Angeles),Los Angeles,Unified School District,15929,33.7,88.7,14,78.26,23,242,0,24.5,12,71661,N/A,N/A,N/A,8064,266,8181,31,5240,0,408,545
Calaveras Unified (Calaveras),Calaveras,Unified School District,3302,1.5,47.7,23,90.72,22.8,58,0,21.7,14,61700,N/A,N/A,N/A,7654,438,8355,60,5025,15,546,928
Cotati-Rohnert Park Unified (Sonoma),Sonoma,Unified School District,5946,18.8,41.9,45,79.22,22.6,96,0,25.1,14,59897,N/A,N/A,N/A,7529,171,8063,49,5436,5,431,404
Barstow Unified (San Bernardino),San Bernardino,Unified School District,5991,14.4,66.5,48,67.58,22.4,76,0,22.8,12,60928,N/A,N/A,N/A,7974,308,7671,0,4815,0,533,736
Morongo Unified (San Bernardino),San Bernardino,Unified School District,9090,4.2,61,43,83.86,22.3,136,0,22.5,13,66370,N/A,N/A,N/A,8773,506,8686,35,5362,15,475,913
Waterford Unified (Stanislaus),Stanislaus,Unified School District,3883,12.4,59.9,44,90.07,22,74,0,24,9,65200,N/A,N/A,N/A,8464,593,10488,89,5893,377,792,695
Palo Verde Unified (Riverside),Riverside,Unified School District,3486,10.5,61.4,37,70.47,21.8,39,0,22,10,58659,N/A,N/A,N/A,7840,500,8933,70,4810,0,475,878
Cuyama Joint Unified (Santa Barbara),Santa Barbara,Unified School District,238,47.1,81.9,23,57.14,redacted,redacted,0,16.4,11,N/A,N/A,N/A,N/A,11486,1123,12691,61,6564,0,944,836
Eureka City Schools (Humboldt),Humboldt,Unified School District,3841,13.3,54.2,46,90.45,21.4,75,0,21,16,61220,N/A,N/A,N/A,8506,378,9370,57,5107,186,732,930
San Pasqual Valley Unified (Imperial),Imperial,Unified School District,780,24.1,78.7,45,73.81,redacted,redacted,0,14.7,9,60316,N/A,N/A,N/A,14904,1008,15999,363,8251,10,1388,1917
Banning Unified (Riverside),Riverside,Unified School District,4503,21,71.3,41,80.15,20.9,47,0,22.1,10,63765,N/A,N/A,N/A,8577,396,8698,43,5284,135,667,675
Moreno Valley Unified (Riverside),Riverside,Unified School District,35690,23,69,37,74.74,20.9,427,0,23.8,12,69770,N/A,N/A,N/A,7751,267,7854,1,5145,3,253,666
North Monterey County Unified (Monterey),Monterey,Unified School District,4369,40.2,73.8,23,80.41,20.8,68,0,23,11,61819,N/A,N/A,N/A,8075,428,8649,84,4587,0,544,935
Walnut Valley Unified (Los Angeles),Los Angeles,Unified School District,14658,9.4,10.8,46,97.87,20.7,315,0,25.3,15,75685,N/A,N/A,N/A,7358,274,7360,32,4854,52,288,626
Windsor Unified (Sonoma),Sonoma,Unified School District,5525,19.3,37.9,41,88.68,20.6,88,0,22.6,10,60393,N/A,N/A,N/A,7880,294,8343,65,5321,19,299,1091
Gustine Unified (Merced),Merced,Unified School District,1712,37.6,74,24,80,20.5,24,0,22.7,12,60841,N/A,N/A,N/A,7666,425,8040,70,4882,0,673,477
Konocti Unified (Lake),Lake,Unified School District,3099,15.6,85,45,85.71,20.5,34,0,21.3,11,51835,N/A,N/A,N/A,9017,443,9711,60,5457,2,512,1285
Orland Joint Unified (Glenn),Glenn,Unified School District,2194,25,69.1,36,90.17,20.5,32,0,22.9,12,58033,N/A,N/A,N/A,8095,327,8231,63,5201,0,609,534
Fontana Unified (San Bernardino),San Bernardino,Unified School District,40592,34.1,78.4,17,82.47,20.2,550,0,23.9,12,71225,N/A,N/A,N/A,7776,340,8076,0,5174,1,293,426
Winters Joint Unified (Yolo),Yolo,Unified School District,1609,33.8,65.3,34,88.51,20.1,29,0,21.2,12,61522,N/A,N/A,N/A,7878,280,8115,11,4844,11,699,624
Potter Valley Community Unified (Mendocino),Mendocino,Unified School District,260,18.1,73.9,40,100,redacted,redacted,0,14.5,7,44134,N/A,N/A,N/A,11583,632,12695,216,7222,0,1133,810
Soledad Unified (Monterey),Monterey,Unified School District,4635,44.9,90.5,6,79.22,19.8,51,0,22.4,9,61090,N/A,N/A,N/A,8350,329,9165,31,5428,0,507,769
Stockton Unified (San Joaquin),San Joaquin,Unified School District,38810,27,82.4,43,71.09,19.8,350,0,23.8,11,61007,N/A,N/A,N/A,9018,427,9354,29,5794,0,416,728
Riverbank Unified (Stanislaus),Stanislaus,Unified School District,2777,44.1,72.5,23,81.48,19.7,31,0,21.2,13,68488,N/A,N/A,N/A,9740,457,10087,57,6461,0,661,718
Denair Unified (Stanislaus),Stanislaus,Unified School District,1559,14.5,58.5,39,67.12,19.4,32,0,18,10,63493,N/A,N/A,N/A,9454,209,9237,97,6315,7,682,463
Palm Springs Unified (Riverside),Riverside,Unified School District,23676,30.7,76.1,29,83.71,19.4,304,0,25.3,11,71323,N/A,N/A,N/A,8108,290,8650,76,5184,0,480,595
Madera Unified (Madera),Madera,Unified School District,19936,32.4,83.2,16,85.95,19.1,199,0,22.9,12,59591,N/A,N/A,N/A,7196,363,7660,108,4503,1,401,632
Colusa Unified (Colusa),Colusa,Unified School District,1409,28.5,58.5,35,76.32,18.8,18,0,21,14,61828,N/A,N/A,N/A,7626,366,7994,157,5096,1,536,511
Cloverdale Unified (Sonoma),Sonoma,Unified School District,1433,32.4,60,38,71.17,18.4,16,0,23.9,14,58608,N/A,N/A,N/A,7345,189,8645,89,5250,0,575,311
Center Joint Unified (Sacramento),Sacramento,Unified School District,4849,11.7,57.6,53,83.66,18.3,64,0,24.5,15,68373,N/A,N/A,N/A,7429,178,7711,41,4779,0,402,485
Twin Rivers Unified (Sacramento),Sacramento,Unified School District,31637,25.3,79.4,59,72.32,18.2,341,0,21.9,11,67766,N/A,N/A,N/A,9090,451,9613,71,5442,0,778,814
Kelseyville Unified (Lake),Lake,Unified School District,1726,13.8,80.3,40,93.88,18.1,25,0,20.9,15,55088,N/A,N/A,N/A,8238,485,9084,109,5064,0,654,1036
Hemet Unified (Riverside),Riverside,Unified School District,21977,13.9,64.8,45,79.64,17.9,277,0,24.6,11,68733,N/A,N/A,N/A,8181,399,8786,92,5073,3,520,1021
Paradise Unified (Butte),Butte,Unified School District,4345,1.1,55.6,24,85.91,17.8,56,0,21,13,57243,N/A,N/A,N/A,8747,497,9231,98,5937,0,511,1100
Western Placer Unified (Placer),Placer,Unified School District,9170,9.3,41.1,38,90.05,17.6,117,0,16,8,65417,N/A,N/A,N/A,7494,340,7518,142,5009,21,520,474
Willows Unified (Glenn),Glenn,Unified School District,1506,22.1,62.1,44,74.81,17.6,18,0,26.5,14,71982,N/A,N/A,N/A,7203,257,8151,0,4270,3,815,476
San Bernardino City Unified (San Bernardino),San Bernardino,Unified School District,54378,29.2,85.1,30,73.52,17.2,538,0,21.8,11,65028,N/A,N/A,N/A,9627,480,9945,0,5820,11,532,978
Biggs Unified (Butte),Butte,Unified School District,534,18,70.4,38,86.36,redacted,redacted,0,18,17,55652,N/A,N/A,N/A,9907,666,10710,113,6059,70,1029,582
Pittsburg Unified (Contra Costa),Contra Costa,Unified School District,10381,32.4,80.2,43,70.16,17,92,0,21.8,9,59895,N/A,N/A,N/A,7852,404,8488,30,5423,4,446,505
Surprise Valley Joint Unified (Modoc),Modoc,Unified School District,143,4.9,67.8,42,75,redacted,redacted,0,13.1,9,46581,N/A,N/A,N/A,13587,884,14861,217,8156,0,1594,508
Compton Unified (Los Angeles),Los Angeles,Unified School District,24781,39.8,81.2,19,57.46,16.4,174,0,23.2,2,68892,N/A,N/A,N/A,9785,521,9888,41,6004,0,759,779
Williams Unified (Colusa),Colusa,Unified School District,1296,47.8,80.1,13,84.54,16.3,14,0,22.9,12,61238,N/A,N/A,N/A,6954,379,7876,72,4478,0,511,258
