School Name,District Name (School),School Type (School),County Name (School)
Lynbrook High (Fremont Union High),Fremont Union High,High School,Santa Clara
Lynwood High (Lynwood Unified),Lynwood Unified,High School,Los Angeles
MAAC Community Charter (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Madera High (Madera Unified),Madera Unified,High School,Madera
Madera South High (Madera Unified),Madera Unified,High School,Madera
Madison High (San Diego Unified),San Diego Unified,High School,San Diego
Magnolia High (Anaheim Union High),Anaheim Union High,High School,Orange
Maidu Virtual Charter Academy (Placer Union High),Placer Union High,High School,Placer
Mammoth High (Mammoth Unified),Mammoth Unified,High School,Mono
Manteca High (Manteca Unified),Manteca Unified,High School,San Joaquin
Manual Arts Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Mar Vista Senior High (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Marco Antonio Firebaugh High (Lynwood Unified),Lynwood Unified,High School,Los Angeles
Maria Carrillo High (Santa Rosa High),Santa Rosa High,High School,Sonoma
Maricopa High (Maricopa Unified),Maricopa Unified,High School,Kern
Marina High (Monterey Peninsula Unified),Monterey Peninsula Unified,High School,Monterey
Marina High (Huntington Beach Union High),Huntington Beach Union High,High School,Orange
Mariposa County High (Mariposa County Unified),Mariposa County Unified,High School,Mariposa
Mark Keppel High (Alhambra Unified),Alhambra Unified,High School,Los Angeles
Marshall (Thurgood) High (San Francisco Unified),San Francisco Unified,High School,San Francisco
Martin Luther King Jr. High (Riverside Unified),Riverside Unified,High School,Riverside
Marysville Charter Academy for the Arts (Marysville Joint Unified),Marysville Joint Unified,High School,Yuba
Marysville High (Marysville Joint Unified),Marysville Joint Unified,High School,Yuba
Math and Science College Preparatory (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
"Math, Science, & Technology Magnet Academy at Roosevelt High (Los Angeles Unified)",Los Angeles Unified,High School,Los Angeles
Matrix for Success Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Mattole Triple Junction High (Mattole Unified),Mattole Unified,High School,Humboldt
Maxwell Sr High (Maxwell Unified),Maxwell Unified,High School,Colusa
Mayfair High (Bellflower Unified),Bellflower Unified,High School,Los Angeles
Maywood Academy High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
McCloud High (Siskiyou Union High),Siskiyou Union High,High School,Siskiyou
McClymonds High (Oakland Unified),Oakland Unified,High School,Alameda
McFarland High (McFarland Unified),McFarland Unified,High School,Kern
McKinleyville High (Northern Humboldt Union High),Northern Humboldt Union High,High School,Humboldt
McLane High (Fresno Unified),Fresno Unified,High School,Fresno
Mendocino High (Mendocino Unified),Mendocino Unified,High School,Mendocino
Mendota High (Mendota Unified),Mendota Unified,High School,Fresno
Menlo-Atherton High (Sequoia Union High),Sequoia Union High,High School,San Mateo
Merced High (Merced Union High),Merced Union High,High School,Merced
Merrill F. West High (Tracy Joint Unified),Tracy Joint Unified,High School,San Joaquin
Mesa Verde High (San Juan Unified),San Juan Unified,High School,Sacramento
Method Schools High (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,High School,Los Angeles
MetWest High (Oakland Unified),Oakland Unified,High School,Alameda
Middle College High (San Jose Unified),San Jose Unified,High School,Santa Clara
Middle College High (West Contra Costa Unified),West Contra Costa Unified,High School,Contra Costa
Middle College High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Middle College High (Lodi Unified),Lodi Unified,High School,San Joaquin
Middletown High (Middletown Unified),Middletown Unified,High School,Lake
Millennium Charter (Tracy Joint Unified),Tracy Joint Unified,High School,San Joaquin
Millennium Charter High (Monterey County Office of Education),Monterey County Office of Education,High School,Monterey
Millikan High (Long Beach Unified),Long Beach Unified,High School,Los Angeles
Mills High (San Mateo Union High),San Mateo Union High,High School,San Mateo
Milpitas High (Milpitas Unified),Milpitas Unified,High School,Santa Clara
Minarets Charter High (Chawanakee Unified),Chawanakee Unified,High School,Madera
Minarets High (Chawanakee Unified),Chawanakee Unified,High School,Madera
Mira Costa High (Manhattan Beach Unified),Manhattan Beach Unified,High School,Los Angeles
Mira Loma High (San Juan Unified),San Juan Unified,High School,Sacramento
Mira Mesa High (San Diego Unified),San Diego Unified,High School,San Diego
Mira Monte High (Kern High),Kern High,High School,Kern
Miramonte High (Acalanes Union High),Acalanes Union High,High School,Contra Costa
Mirus Secondary (Hesperia Unified),Hesperia Unified,High School,San Bernardino
Mission Bay High (San Diego Unified),San Diego Unified,High School,San Diego
Mission High (San Francisco Unified),San Francisco Unified,High School,San Francisco
Mission Hills High (San Marcos Unified),San Marcos Unified,High School,San Diego
Mission Oak High (Tulare Joint Union High),Tulare Joint Union High,High School,Tulare
Mission San Jose High (Fremont Unified),Fremont Unified,High School,Alameda
Mission Viejo High (Saddleback Valley Unified),Saddleback Valley Unified,High School,Orange
MIT Academy (Vallejo City Unified),Vallejo City Unified,High School,Solano
Modesto High (Modesto City High),Modesto City High,High School,Stanislaus
Modoc High (Modoc Joint Unified),Modoc Joint Unified,High School,Modoc
Mojave Jr./Sr. High (Mojave Unified),Mojave Unified,High School,Kern
Monache High (Porterville Unified),Porterville Unified,High School,Tulare
Monrovia High (Monrovia Unified),Monrovia Unified,High School,Los Angeles
Monta Vista High (Fremont Union High),Fremont Union High,High School,Santa Clara
Montclair High (Chaffey Joint Union High),Chaffey Joint Union High,High School,San Bernardino
Monte Vista High (San Ramon Valley Unified),San Ramon Valley Unified,High School,Contra Costa
Monte Vista High (Grossmont Union High),Grossmont Union High,High School,San Diego
Montebello High (Montebello Unified),Montebello Unified,High School,Los Angeles
Monterey High (Monterey Peninsula Unified),Monterey Peninsula Unified,High School,Monterey
Monterey Trail High (Elk Grove Unified),Elk Grove Unified,High School,Sacramento
Montgomery High (Santa Rosa High),Santa Rosa High,High School,Sonoma
Montgomery Senior High (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Moorpark High (Moorpark Unified),Moorpark Unified,High School,Ventura
Moreno Valley Community Learning Center (Moreno Valley Unified),Moreno Valley Unified,High School,Riverside
Moreno Valley High (Moreno Valley Unified),Moreno Valley Unified,High School,Riverside
Morningside High (Inglewood Unified),Inglewood Unified,High School,Los Angeles
Morro Bay High (San Luis Coastal Unified),San Luis Coastal Unified,High School,San Luis Obispo
Morse High (San Diego Unified),San Diego Unified,High School,San Diego
Mount Miguel High (Grossmont Union High),Grossmont Union High,High School,San Diego
Mountain Empire High (Mountain Empire Unified),Mountain Empire Unified,High School,San Diego
Mountain High (Summerville Union High),Summerville Union High,High School,Tuolumne
Mountain House High (Lammersville Joint Unified),Lammersville Joint Unified,High School,San Joaquin
Mountain Oaks High (Chawanakee Unified),Chawanakee Unified,High School,Madera
Mountain View High (Mountain View-Los Altos Union High),Mountain View-Los Altos Union High,High School,Santa Clara
Mountain View High (El Monte Union High),El Monte Union High,High School,Los Angeles
Mt. Carmel High (Poway Unified),Poway Unified,High School,San Diego
Mt. Diablo High (Mt. Diablo Unified),Mt. Diablo Unified,High School,Contra Costa
Mt. Eden High (Hayward Unified),Hayward Unified,High School,Alameda
Mt. Pleasant High (East Side Union High),East Side Union High,High School,Santa Clara
Mt. Shasta High (Siskiyou Union High),Siskiyou Union High,High School,Siskiyou
Mt. Whitney High (Visalia Unified),Visalia Unified,High School,Tulare
Murrieta Mesa High (Murrieta Valley Unified),Murrieta Valley Unified,High School,Riverside
Murrieta Valley High (Murrieta Valley Unified),Murrieta Valley Unified,High School,Riverside
Napa High (Napa Valley Unified),Napa Valley Unified,High School,Napa
Nathaniel Narbonne Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Natomas High (Natomas Unified),Natomas Unified,High School,Sacramento
Natomas Pacific Pathways Prep (Natomas Unified),Natomas Unified,High School,Sacramento
NAVA College Preparatory Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Needles High (Needles Unified),Needles Unified,High School,San Bernardino
Nevada Union High (Nevada Joint Union High),Nevada Joint Union High,High School,Nevada
New Millennium Secondary (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
New Opportunities Charter (Centinela Valley Union High),Centinela Valley Union High,High School,Los Angeles
New Technology High (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
New Village Girls Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Newark Memorial High (Newark Unified),Newark Unified,High School,Alameda
Newbury Park High (Conejo Valley Unified),Conejo Valley Unified,High School,Ventura
Newport Harbor High (Newport-Mesa Unified),Newport-Mesa Unified,High School,Orange
Nipomo High (Lucia Mar Unified),Lucia Mar Unified,High School,San Luis Obispo
Nogales High (Rowland Unified),Rowland Unified,High School,Los Angeles
Norco High (Corona-Norco Unified),Corona-Norco Unified,High School,Riverside
Nordhoff High (Ojai Unified),Ojai Unified,High School,Ventura
Norte Vista High (Alvord Unified),Alvord Unified,High School,Riverside
North County Trade Tech High (Vista Unified),Vista Unified,High School,San Diego
North High (Torrance Unified),Torrance Unified,High School,Los Angeles
North High (Kern High),Kern High,High School,Kern
North Hollywood Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
North Monterey County High (North Monterey County Unified),North Monterey County Unified,High School,Monterey
North Salinas High (Salinas Union High),Salinas Union High,High School,Monterey
North Tahoe High (Tahoe-Truckee Unified),Tahoe-Truckee Unified,High School,Placer
Northcoast Preparatory and Performing Arts Academy (Humboldt County Office of Education),Humboldt County Office of Education,High School,Humboldt
Northgate High (Mt. Diablo Unified),Mt. Diablo Unified,High School,Contra Costa
Northridge Academy High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Northview High (Covina-Valley Unified),Covina-Valley Unified,High School,Los Angeles
Northwest Prep Charter (Piner-Olivet Union Elementary),Piner-Olivet Union Elementary,High School,Sonoma
Northwood High (Irvine Unified),Irvine Unified,High School,Orange
Norwalk High (Norwalk-La Mirada Unified),Norwalk-La Mirada Unified,High School,Los Angeles
NOVA Academy - Coachella (Coachella Valley Unified),Coachella Valley Unified,High School,Riverside
Nova Academy Early College High (Santa Ana Unified),Santa Ana Unified,High School,Orange
Novato High (Novato Unified),Novato Unified,High School,Marin
Nuview Bridge Early College High (Nuview Union),Nuview Union,High School,Riverside
O'Connell (John) High (San Francisco Unified),San Francisco Unified,High School,San Francisco
Oak Grove High (East Side Union High),East Side Union High,High School,Santa Clara
Oak Hills High (Hesperia Unified),Hesperia Unified,High School,San Bernardino
Oak Park High (Oak Park Unified),Oak Park Unified,High School,Ventura
Oak Ridge High (El Dorado Union High),El Dorado Union High,High School,El Dorado
Oakdale Charter (Oakdale Joint Unified),Oakdale Joint Unified,High School,Stanislaus
Oakdale High (Oakdale Joint Unified),Oakdale Joint Unified,High School,Stanislaus
Oakland Charter High (Oakland Unified),Oakland Unified,High School,Alameda
Oakland High (Oakland Unified),Oakland Unified,High School,Alameda
Oakland Technical High (Oakland Unified),Oakland Unified,High School,Alameda
Oakland Unity High (Oakland Unified),Oakland Unified,High School,Alameda
Oakmont High (Roseville Joint Union High),Roseville Joint Union High,High School,Placer
Ocean View High (Huntington Beach Union High),Huntington Beach Union High,High School,Orange
Oceanside High (Oceanside Unified),Oceanside Unified,High School,San Diego
OCSA (Santa Ana Unified),Santa Ana Unified,High School,Orange
Odyssey STEM Academy (Paramount Unified),Paramount Unified,High School,Los Angeles
Olympian High (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Ontario High (Chaffey Joint Union High),Chaffey Joint Union High,High School,San Bernardino
Opportunities for Learning - Baldwin Park (Baldwin Park Unified),Baldwin Park Unified,High School,Los Angeles
Opportunities For Learning - Baldwin Park II (Baldwin Park Unified),Baldwin Park Unified,High School,Los Angeles
Opportunities for Learning - Duarte (Duarte Unified),Duarte Unified,High School,Los Angeles
Opportunities For Learning - Fresno (Westside Elementary),Westside Elementary,High School,Fresno
Opportunities for Learning - Santa Clarita (William S. Hart Union High),William S. Hart Union High,High School,Los Angeles
Opportunity Youth Academy (Santa Clara County Office of Education),Santa Clara County Office of Education,High School,Santa Clara
Optimist Charter (Los Angeles County Office of Education),Los Angeles County Office of Education,High School,Los Angeles
Options for Youth San Gabriel (San Gabriel Unified),San Gabriel Unified,High School,Los Angeles
Options for Youth-Acton (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,High School,Los Angeles
Options for Youth-San Bernardino (San Bernardino City Unified),San Bernardino City Unified,High School,San Bernardino
Options for Youth-San Juan (San Juan Unified),San Juan Unified,High School,Sacramento
Options for Youth-Victorville Charter (Victor Valley Union High),Victor Valley Union High,High School,San Bernardino
Orange County Conservation Corps Charter (Mono County Office of Education),Mono County Office of Education,High School,Mono
Orange County Workforce Innovation High (Orange County Department of Education),Orange County Department of Education,High School,Orange
Orange Cove High (Kings Canyon Joint Unified),Kings Canyon Joint Unified,High School,Fresno
Orange Glen High (Escondido Union High),Escondido Union High,High School,San Diego
Orange High (Orange Unified),Orange Unified,High School,Orange
Orange Vista High (Val Verde Unified),Val Verde Unified,High School,Riverside
Orestimba High (Newman-Crows Landing Unified),Newman-Crows Landing Unified,High School,Stanislaus
Orland High (Orland Joint Unified),Orland Joint Unified,High School,Glenn
Orosi High (Cutler-Orosi Joint Unified),Cutler-Orosi Joint Unified,High School,Tulare
Oroville High (Oroville Union High),Oroville Union High,High School,Butte
Oscar De La Hoya Animo Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Otay Ranch Senior High (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Owens Valley High (Owens Valley Unified),Owens Valley Unified,High School,Inyo
Oxford Academy (Anaheim Union High),Anaheim Union High,High School,Orange
Oxford Day Academy (San Mateo County Office of Education),San Mateo County Office of Education,High School,San Mateo
Oxnard High (Oxnard Union High),Oxnard Union High,High School,Ventura
Pacheco High (Los Banos Unified),Los Banos Unified,High School,Merced
Pacific Collegiate Charter (Santa Cruz County Office of Education),Santa Cruz County Office of Education,High School,Santa Cruz
Pacific Grove High (Pacific Grove Unified),Pacific Grove Unified,High School,Monterey
Pacific High (San Bernardino City Unified),San Bernardino City Unified,High School,San Bernardino
Pacific Law Academy (Stockton Unified),Stockton Unified,High School,San Joaquin
Pacifica High (Garden Grove Unified),Garden Grove Unified,High School,Orange
Pacifica High (Oxnard Union High),Oxnard Union High,High School,Ventura
Pajaro Valley High (Pajaro Valley Unified),Pajaro Valley Unified,High School,Santa Cruz
Palisades Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Palm Desert High (Desert Sands Unified),Desert Sands Unified,High School,Riverside
Palm Springs High (Palm Springs Unified),Palm Springs Unified,High School,Riverside
Palmdale High (Antelope Valley Union High),Antelope Valley Union High,High School,Los Angeles
Palo Alto High (Palo Alto Unified),Palo Alto Unified,High School,Santa Clara
Palo Verde High (Palo Verde Unified),Palo Verde Unified,High School,Riverside
Paloma Valley High (Perris Union High),Perris Union High,High School,Riverside
Palomares Academy of Health Science (Pomona Unified),Pomona Unified,High School,Los Angeles
Palos Verdes High (Palos Verdes Peninsula Unified),Palos Verdes Peninsula Unified,High School,Los Angeles
Palos Verdes Peninsula High (Palos Verdes Peninsula Unified),Palos Verdes Peninsula Unified,High School,Los Angeles
Panorama High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Paradise eLearning Academy (Paradise Unified),Paradise Unified,High School,Butte
Paradise Senior High (Paradise Unified),Paradise Unified,High School,Butte
Paramount High (Paramount Unified),Paramount Unified,High School,Los Angeles
Parlier High (Parlier Unified),Parlier Unified,High School,Fresno
Pasadena High (Pasadena Unified),Pasadena Unified,High School,Los Angeles
Paso Robles High (Paso Robles Joint Unified),Paso Robles Joint Unified,High School,San Luis Obispo
Pathways Academy Charter Adult Education (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,High School,Los Angeles
Pathways Community (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Patriot High (Jurupa Unified),Jurupa Unified,High School,Riverside
Patterson High (Patterson Joint Unified),Patterson Joint Unified,High School,Stanislaus
Performing Arts Community at Diego Rivera Learning Complex (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Perris High (Perris Union High),Perris Union High,High School,Riverside
Pescadero High (La Honda-Pescadero Unified),La Honda-Pescadero Unified,High School,San Mateo
Petaluma High (Petaluma Joint Union High),Petaluma Joint Union High,High School,Sonoma
Peter Johansen High (Modesto City High),Modesto City High,High School,Stanislaus
Phillip J Patino School of Entrepreneurship (Fresno Unified),Fresno Unified,High School,Fresno
Phineas Banning Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Piedmont High (Piedmont City Unified),Piedmont City Unified,High School,Alameda
Piedmont Hills High (East Side Union High),East Side Union High,High School,Santa Clara
Pierce High (Pierce Joint Unified),Pierce Joint Unified,High School,Colusa
Piner High (Santa Rosa High),Santa Rosa High,High School,Sonoma
Pinnacle Academy Charter - Independent Study (South Monterey County Joint Union High),South Monterey County Joint Union High,High School,Monterey
Pinole Valley High (West Contra Costa Unified),West Contra Costa Unified,High School,Contra Costa
Pioneer High (San Jose Unified),San Jose Unified,High School,Santa Clara
Pioneer High (Whittier Union High),Whittier Union High,High School,Los Angeles
Pioneer High (Woodland Joint Unified),Woodland Joint Unified,High School,Yolo
Pioneer Valley High (Santa Maria Joint Union High),Santa Maria Joint Union High,High School,Santa Barbara
Pittsburg Senior High (Pittsburg Unified),Pittsburg Unified,High School,Contra Costa
Placer High (Placer Union High),Placer Union High,High School,Placer
Pleasant Grove High (Elk Grove Unified),Elk Grove Unified,High School,Sacramento
Pleasant Valley High (Chico Unified),Chico Unified,High School,Butte
Point Arena High (Point Arena Joint Union High),Point Arena Joint Union High,High School,Mendocino
Point Loma High (San Diego Unified),San Diego Unified,High School,San Diego
Polytechnic High (Riverside Unified),Riverside Unified,High School,Riverside
Polytechnic High (Long Beach Unified),Long Beach Unified,High School,Los Angeles
Pomona High (Pomona Unified),Pomona Unified,High School,Los Angeles
Ponderosa High (El Dorado Union High),El Dorado Union High,High School,El Dorado
Port of Los Angeles High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Porterville High (Porterville Unified),Porterville Unified,High School,Tulare
Portola High (Irvine Unified),Irvine Unified,High School,Orange
Portola Junior/Senior High (Plumas Unified),Plumas Unified,High School,Plumas
Potter Valley High (Potter Valley Community Unified),Potter Valley Community Unified,High School,Mendocino
Poway High (Poway Unified),Poway Unified,High School,San Diego
Prepa Tec Los Angeles High (SBE - Prepa Tec Los Angeles High),SBE - Prepa Tec Los Angeles High,High School,Los Angeles
Princeton Junior-Senior High (Princeton Joint Unified),Princeton Joint Unified,High School,Glenn
Prospect High (Campbell Union High),Campbell Union High,High School,Santa Clara
Public Service Community at Diego Rivera Learning Complex (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
PUC Early College Academy for Leaders and Scholars (ECALS) (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
PUC Lakeview Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Quartz Hill High (Antelope Valley Union High),Antelope Valley Union High,High School,Los Angeles
Quincy Junior/Senior High (Plumas Unified),Plumas Unified,High School,Plumas
Ramon C. Cortines School of Visual and Performing Arts (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Ramona High (Riverside Unified),Riverside Unified,High School,Riverside
Ramona High (Ramona City Unified),Ramona City Unified,High School,San Diego
Rancho Alamitos High (Garden Grove Unified),Garden Grove Unified,High School,Orange
Rancho Bernardo High (Poway Unified),Poway Unified,High School,San Diego
Rancho Buena Vista High (Vista Unified),Vista Unified,High School,San Diego
Rancho Campana High (Oxnard Union High),Oxnard Union High,High School,Ventura
Rancho Cotate High (Cotati-Rohnert Park Unified),Cotati-Rohnert Park Unified,High School,Sonoma
Rancho Cucamonga High (Chaffey Joint Union High),Chaffey Joint Union High,High School,San Bernardino
Rancho Mirage High (Palm Springs Unified),Palm Springs Unified,High School,Riverside
Rancho Verde High (Val Verde Unified),Val Verde Unified,High School,Riverside
REALM Charter High (Berkeley Unified),Berkeley Unified,High School,Alameda
Red Bluff High (Red Bluff Joint Union High),Red Bluff Joint Union High,High School,Tehama
Redlands East Valley High (Redlands Unified),Redlands Unified,High School,San Bernardino
Redlands Senior High (Redlands Unified),Redlands Unified,High School,San Bernardino
Redondo Union High (Redondo Beach Unified),Redondo Beach Unified,High School,Los Angeles
Redwood Academy of Ukiah (Ukiah Unified),Ukiah Unified,High School,Mendocino
Redwood High (Tamalpais Union High),Tamalpais Union High,High School,Marin
Redwood High (Visalia Unified),Visalia Unified,High School,Tulare
Reedley High (Kings Canyon Joint Unified),Kings Canyon Joint Unified,High School,Fresno
Reedley Middle College High (Kings Canyon Joint Unified),Kings Canyon Joint Unified,High School,Fresno
Renaissance High School for the Arts (Long Beach Unified),Long Beach Unified,High School,Los Angeles
Reseda Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Rialto High (Rialto Unified),Rialto Unified,High School,San Bernardino
Richard D. Browning High (Long Beach Unified),Long Beach Unified,High School,Los Angeles
Richmond High (West Contra Costa Unified),West Contra Costa Unified,High School,Contra Costa
Ridgeview High (Kern High),Kern High,High School,Kern
Rim of the World Senior High (Rim of the World Unified),Rim of the World Unified,High School,San Bernardino
Rio Americano High (San Juan Unified),San Juan Unified,High School,Sacramento
Rio Linda High (Twin Rivers Unified),Twin Rivers Unified,High School,Sacramento
Rio Mesa High (Oxnard Union High),Oxnard Union High,High School,Ventura
Rio Vista High (River Delta Joint Unified),River Delta Joint Unified,High School,Sacramento
Ripon High (Ripon Unified),Ripon Unified,High School,San Joaquin
RISE High (Wiseburn Unified),Wiseburn Unified,High School,Los Angeles
Rise Kohyang High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
River City High (Washington Unified),Washington Unified,High School,Yolo
River Valley Charter (Lakeside Union Elementary),Lakeside Union Elementary,High School,San Diego
River Valley High (Yuba City Unified),Yuba City Unified,High School,Sutter
Riverbank High (Riverbank Unified),Riverbank Unified,High School,Stanislaus
Rivercrest Preparatory (Jurupa Unified),Jurupa Unified,High School,Riverside
Riverdale High (Riverdale Joint Unified),Riverdale Joint Unified,High School,Fresno
Riverside County Education Academy - Indio (Riverside County Office of Education),Riverside County Office of Education,High School,Riverside
Robert F. Kennedy High (Delano Joint Union High),Delano Joint Union High,High School,Kern
Rocklin High (Rocklin Unified),Rocklin Unified,High School,Placer
Ronald E. McNair High (Lodi Unified),Lodi Unified,High School,San Joaquin
Roosevelt High (Fresno Unified),Fresno Unified,High School,Fresno
Rosamond High Early College Campus (Southern Kern Unified),Southern Kern Unified,High School,Kern
Rosemead High (El Monte Union High),El Monte Union High,High School,Los Angeles
Rosemont High (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
Roseville High (Roseville Joint Union High),Roseville Joint Union High,High School,Placer
Round Valley High (Round Valley Unified),Round Valley Unified,High School,Mendocino
Royal High (Simi Valley Unified),Simi Valley Unified,High School,Ventura
Ruben S. Ayala High (Chino Valley Unified),Chino Valley Unified,High School,San Bernardino
Rubidoux High (Jurupa Unified),Jurupa Unified,High School,Riverside
Sacramento Charter High (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
Saddleback High (Santa Ana Unified),Santa Ana Unified,High School,Orange
Sage Creek High (Carlsbad Unified),Carlsbad Unified,High School,San Diego
Saint Helena High (Saint Helena Unified),Saint Helena Unified,High School,Napa
Salinas High (Salinas Union High),Salinas Union High,High School,Monterey
Samueli Academy (Orange County Department of Education),Orange County Department of Education,High School,Orange
San Benito High (San Benito High),San Benito High,High School,San Benito
San Bernardino High (San Bernardino City Unified),San Bernardino City Unified,High School,San Bernardino
San Clemente High (Capistrano Unified),Capistrano Unified,High School,Orange
San Diego Business/Leadership (San Diego Unified),San Diego Unified,High School,San Diego
San Diego International Studies (San Diego Unified),San Diego Unified,High School,San Diego
San Diego Science and Technology (San Diego Unified),San Diego Unified,High School,San Diego
San Diego Workforce Innovation High (Borrego Springs Unified),Borrego Springs Unified,High School,San Diego
San Dieguito HS Academy (San Dieguito Union High),San Dieguito Union High,High School,San Diego
San Dimas High (Bonita Unified),Bonita Unified,High School,Los Angeles
San Fernando Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
San Gabriel High (Alhambra Unified),Alhambra Unified,High School,Los Angeles
San Gorgonio High (San Bernardino City Unified),San Bernardino City Unified,High School,San Bernardino
San Jacinto High (San Jacinto Unified),San Jacinto Unified,High School,Riverside
San Jose Conservation Corps Charter (East Side Union High),East Side Union High,High School,Santa Clara
San Jose High (San Jose Unified),San Jose Unified,High School,Santa Clara
San Juan High (San Juan Unified),San Juan Unified,High School,Sacramento
San Juan Hills High (Capistrano Unified),Capistrano Unified,High School,Orange
San Leandro High (San Leandro Unified),San Leandro Unified,High School,Alameda
San Lorenzo High (San Lorenzo Unified),San Lorenzo Unified,High School,Alameda
San Lorenzo Valley High (San Lorenzo Valley Unified),San Lorenzo Valley Unified,High School,Santa Cruz
San Luis Obispo High (San Luis Coastal Unified),San Luis Coastal Unified,High School,San Luis Obispo
San Marcos High (San Marcos Unified),San Marcos Unified,High School,San Diego
San Marcos Senior High (Santa Barbara Unified),Santa Barbara Unified,High School,Santa Barbara
San Marin High (Novato Unified),Novato Unified,High School,Marin
San Marino High (San Marino Unified),San Marino Unified,High School,Los Angeles
San Mateo High (San Mateo Union High),San Mateo Union High,High School,San Mateo
San Pasqual High (Escondido Union High),Escondido Union High,High School,San Diego
San Pasqual Valley High (San Pasqual Valley Unified),San Pasqual Valley Unified,High School,Imperial
San Pedro Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
San Rafael High (San Rafael City High),San Rafael City High,High School,Marin
San Ramon Valley High (San Ramon Valley Unified),San Ramon Valley Unified,High School,Contra Costa
San Ysidro High (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Sanger High (Sanger Unified),Sanger Unified,High School,Fresno
Santa Ana High (Santa Ana Unified),Santa Ana Unified,High School,Orange
Santa Barbara Senior High (Santa Barbara Unified),Santa Barbara Unified,High School,Santa Barbara
Santa Clara High (Santa Clara Unified),Santa Clara Unified,High School,Santa Clara
Santa Cruz County Career Advancement Charter (Santa Cruz County Office of Education),Santa Cruz County Office of Education,High School,Santa Cruz
Santa Cruz High (Santa Cruz City High),Santa Cruz City High,High School,Santa Cruz
Santa Fe High (Whittier Union High),Whittier Union High,High School,Los Angeles
Santa Maria High (Santa Maria Joint Union High),Santa Maria Joint Union High,High School,Santa Barbara
Santa Monica High (Santa Monica-Malibu Unified),Santa Monica-Malibu Unified,High School,Los Angeles
Santa Paula High (Santa Paula Unified),Santa Paula Unified,High School,Ventura
Santa Rosa High (Santa Rosa High),Santa Rosa High,High School,Sonoma
Santa Susana High (Simi Valley Unified),Simi Valley Unified,High School,Ventura
Santa Teresa High (East Side Union High),East Side Union High,High School,Santa Clara
Santa Ynez Valley Union High (Santa Ynez Valley Union High),Santa Ynez Valley Union High,High School,Santa Barbara
Santana High (Grossmont Union High),Grossmont Union High,High School,San Diego
Santee Education Complex (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Santiago High (Garden Grove Unified),Garden Grove Unified,High School,Orange
Santiago High (Corona-Norco Unified),Corona-Norco Unified,High School,Riverside
Saratoga High (Los Gatos-Saratoga Union High),Los Gatos-Saratoga Union High,High School,Santa Clara
Saugus High (William S. Hart Union High),William S. Hart Union High,High School,Los Angeles
SAVA - Sacramento Academic and Vocational Academy (Twin Rivers Unified),Twin Rivers Unified,High School,Sacramento
SAVA - Sacramento Academic and Vocational Academy - EGUSD (Elk Grove Unified),Elk Grove Unified,High School,Sacramento
SAVA - Sacramento Academic and Vocational Academy - SCUSD (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
Savanna High (Anaheim Union High),Anaheim Union High,High School,Orange
School for Entrepreneurship and Technology (San Diego Unified),San Diego Unified,High School,San Diego
