School Name,District Name (School),School Type (School),County Name (School)
Capuchino High (San Mateo Union High),San Mateo Union High,High School,San Mateo
Career Technical Education Charter (Fresno County Office of Education),Fresno County Office of Education,High School,Fresno
Carlmont High (Sequoia Union High),Sequoia Union High,High School,San Mateo
Carlsbad High (Carlsbad Unified),Carlsbad Unified,High School,San Diego
Carmel High (Carmel Unified),Carmel Unified,High School,Monterey
Carpinteria Senior High (Carpinteria Unified),Carpinteria Unified,High School,Santa Barbara
Carson Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Carter G. Woodson Public Charter (Fresno Unified),Fresno Unified,High School,Fresno
Caruthers High (Caruthers Unified),Caruthers Unified,High School,Fresno
Casa Grande High (Petaluma Joint Union High),Petaluma Joint Union High,High School,Sonoma
Casa Roble Fundamental High (San Juan Unified),San Juan Unified,High School,Sacramento
Castle Park Senior High (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Castlemont High (Oakland Unified),Oakland Unified,High School,Alameda
Castro Valley High (Castro Valley Unified),Castro Valley Unified,High School,Alameda
"CATCH Prep Charter High, Inc (Los Angeles Unified)",Los Angeles Unified,High School,Los Angeles
Cathedral City High (Palm Springs Unified),Palm Springs Unified,High School,Riverside
Centennial High (Compton Unified),Compton Unified,High School,Los Angeles
Centennial High (Kern High),Kern High,High School,Kern
Centennial High (Corona-Norco Unified),Corona-Norco Unified,High School,Riverside
Center For Learning and Educational Success (San Bernardino City Unified),San Bernardino City Unified,High School,San Bernardino
Center High (Center Joint Unified),Center Joint Unified,High School,Sacramento
Central City Value (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Central Coast New Tech High (Lucia Mar Unified),Lucia Mar Unified,High School,San Luis Obispo
Central High East Campus (Central Unified),Central Unified,High School,Fresno
Central Union High (Central Union High),Central Union High,High School,Imperial
Central Valley High (Gateway Unified),Gateway Unified,High School,Shasta
Central Valley High (Ceres Unified),Ceres Unified,High School,Stanislaus
Century High (Santa Ana Unified),Santa Ana Unified,High School,Orange
Century High School An Integrated Global Studies Academy (Roseville Joint Union High),Roseville Joint Union High,High School,Placer
Ceres High (Ceres Unified),Ceres Unified,High School,Stanislaus
Cerritos High (ABC Unified),ABC Unified,High School,Los Angeles
Cesar Chavez High (Stockton Unified),Stockton Unified,High School,San Joaquin
Cesar E. Chavez High (Delano Joint Union High),Delano Joint Union High,High School,Kern
Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE) (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Cesar E. Chavez Learning Academies-Technology Preparatory Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Chaffey High (Chaffey Joint Union High),Chaffey Joint Union High,High School,San Bernardino
CHAMPS - Charter HS of Arts-Multimedia & Performing (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Channel Islands High (Oxnard Union High),Oxnard Union High,High School,Ventura
Chaparral High (Temecula Valley Unified),Temecula Valley Unified,High School,Riverside
Charter Alternatives Academy (Visalia Unified),Visalia Unified,High School,Tulare
Charter Oak High (Charter Oak Unified),Charter Oak Unified,High School,Los Angeles
Charter School of San Diego (San Diego Unified),San Diego Unified,High School,San Diego
Chatsworth Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Chester Junior/Senior High (Plumas Unified),Plumas Unified,High School,Plumas
Chico High (Chico Unified),Chico Unified,High School,Butte
Chino High (Chino Valley Unified),Chino Valley Unified,High School,San Bernardino
Chino Hills High (Chino Valley Unified),Chino Valley Unified,High School,San Bernardino
Chowchilla Union High (Chowchilla Union High),Chowchilla Union High,High School,Madera
Christopher High (Gilroy Unified),Gilroy Unified,High School,Santa Clara
Chula Vista Senior High (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Citrus Hill High (Val Verde Unified),Val Verde Unified,High School,Riverside
Citrus Valley High (Redlands Unified),Redlands Unified,High School,San Bernardino
City Arts and Tech High (San Francisco Unified),San Francisco Unified,High School,San Francisco
City Honors College Preparatory Academy (Inglewood Unified),Inglewood Unified,High School,Los Angeles
Civicorps Corpsmember Academy (Oakland Unified),Oakland Unified,High School,Alameda
Clairemont High (San Diego Unified),San Diego Unified,High School,San Diego
Claremont High (Claremont Unified),Claremont Unified,High School,Los Angeles
Classical Academy High (Escondido Union High),Escondido Union High,High School,San Diego
Clayton Valley Charter High (Contra Costa County Office of Education),Contra Costa County Office of Education,High School,Contra Costa
Clear Lake High (Lakeport Unified),Lakeport Unified,High School,Lake
Clear Passage Educational Center (Long Beach Unified),Long Beach Unified,High School,Los Angeles
Cloverdale High (Cloverdale Unified),Cloverdale Unified,High School,Sonoma
Clovis East High (Clovis Unified),Clovis Unified,High School,Fresno
Clovis High (Clovis Unified),Clovis Unified,High School,Fresno
Clovis North High (Clovis Unified),Clovis Unified,High School,Fresno
Clovis Online Charter (Clovis Unified),Clovis Unified,High School,Fresno
Clovis West High (Clovis Unified),Clovis Unified,High School,Fresno
Coachella Valley High (Coachella Valley Unified),Coachella Valley Unified,High School,Riverside
